case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T13:38:55.656458,User_1,2016-02-01T10:00:00.117497,2016-02-02T13:38:55.170003,99535.052506,True
Case_1,W_Complete application & A_Concept,2016-02-02T14:15:37.155765,SYSTEM_W,2016-02-02T13:38:55.656458,2016-02-02T13:38:55.656458,0.0,False
Case_1,A_Accepted,2016-02-02T14:17:47.208857,User_101,2016-02-02T14:15:37.155765,2016-02-02T14:15:37.155765,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T14:24:31.886491,User_1,2016-02-02T14:17:47.208857,2016-02-02T14:17:47.208857,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T14:38:29.409143,User_1,2016-02-02T14:24:31.886491,2016-02-02T14:24:31.886491,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T14:38:34.085569,User_1,2016-02-02T14:38:29.409143,2016-02-02T14:38:29.409143,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T14:38:34.185569,User_1,2016-02-02T14:38:34.085569,2016-02-02T14:38:34.085569,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T14:39:18.717050,SYSTEM_W,2016-02-02T14:38:29.409143,2016-02-02T14:38:29.409143,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T14:39:25.424463,SYSTEM_W,2016-02-02T14:39:18.717050,2016-02-02T14:39:18.717050,0.0,False
Case_1,O_Returned,2016-02-02T14:41:49.679746,User_2,2016-02-02T14:39:25.424463,2016-02-02T14:39:25.424463,0.0,False
Case_1,A_Incomplete,2016-02-02T14:45:38.889273,User_17,2016-02-02T14:41:49.679746,2016-02-02T14:41:49.679746,0.0,False
Case_1,A_Validating,2016-02-02T14:46:13.236204,User_17,2016-02-02T14:45:38.889273,2016-02-02T14:45:38.889273,0.0,False
