case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T13:38:55.656458,User_1,2016-02-01T10:00:00.117497,2016-02-02T13:38:55.170003,99535.052506,True
Case_1,W_Complete application & A_Concept,2016-02-02T14:15:37.155765,SYSTEM_W,2016-02-02T13:38:55.656458,2016-02-02T13:38:55.656458,0.0,False
Case_1,A_Accepted,2016-02-02T14:21:11.186568,User_17,2016-02-02T14:15:37.155765,2016-02-02T14:15:37.155765,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T14:21:30.603560,User_17,2016-02-02T14:21:11.186568,2016-02-02T14:21:11.186568,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T14:21:30.703560,User_17,2016-02-02T14:21:30.603560,2016-02-02T14:21:30.603560,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T14:22:31.101529,User_17,2016-02-02T14:21:30.703560,2016-02-02T14:21:30.703560,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T14:22:31.509767,User_17,2016-02-02T14:22:31.101529,2016-02-02T14:22:31.101529,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T14:24:17.970486,SYSTEM_W,2016-02-02T14:22:31.509767,2016-02-02T14:22:31.509767,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T14:27:10.434980,SYSTEM_W,2016-02-02T14:21:30.703560,2016-02-02T14:21:30.703560,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-02T14:27:10.735694,User_17,2016-02-02T14:27:10.434980,2016-02-02T14:27:10.434980,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-03T02:01:19.583194,SYSTEM_W,2016-02-02T14:24:17.970486,2016-02-02T14:24:17.970486,0.0,False
Case_1,O_Returned,2016-02-03T06:39:27.554718,User_95,2016-02-03T02:01:19.583194,2016-02-03T06:36:10.409508,16490.826314,True
