case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-13T21:05:36.023842,User_1,2016-02-01T10:00:00.117497,2016-02-13T21:05:35.534564,1076735.417067,True
Case_1,W_Complete application & A_Concept,2016-02-14T04:27:10.034649,User_48,2016-02-13T21:05:36.023842,2016-02-13T21:05:36.023842,0.0,False
Case_1,A_Accepted,2016-02-14T09:13:23.695458,User_26,2016-02-14T04:27:10.034649,2016-02-14T09:01:09.936982,16439.902333,True
Case_1,O_Create Offer & O_Created,2016-02-14T09:34:32.765263,User_21,2016-02-14T09:13:23.695458,2016-02-14T09:33:58.343812,1234.648354,True
Case_1,O_Sent (mail and online),2016-02-14T10:00:12.450341,User_21,2016-02-14T09:34:32.765263,2016-02-14T10:00:10.952448,1538.187185,True
Case_1,W_Call after offers & A_Complete,2016-02-14T10:13:24.422953,User_28,2016-02-14T10:00:12.450341,2016-02-14T10:00:12.450341,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-14T10:13:53.993741,User_125,2016-02-14T10:13:24.422953,2016-02-14T10:13:24.422953,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-14T10:36:57.950672,User_141,2016-02-14T10:00:12.450341,2016-02-14T10:36:14.639268,2162.188927,True
Case_1,O_Returned,2016-02-14T11:05:31.410051,User_30,2016-02-14T10:13:53.993741,2016-02-14T10:52:09.968826,2295.975085,True
Case_1,O_Sent (mail and online),2016-02-14T11:29:28.909674,User_118,2016-02-14T10:36:57.950672,2016-02-14T11:29:28.809674,3150.859002,True
Case_1,W_Call after offers & A_Complete,2016-02-14T11:36:05.414288,User_56,2016-02-14T11:29:28.909674,2016-02-14T11:29:28.909674,0.0,False
Case_1,A_Incomplete,2016-02-14T12:04:26.382483,User_12,2016-02-14T11:05:31.410051,2016-02-14T12:04:21.884782,3530.474731,True
Case_1,O_Create Offer & O_Created,2016-02-14T12:18:04.100162,User_71,2016-02-14T11:29:28.909674,2016-02-14T12:17:32.224162,2883.314488,True
Case_1,A_Cancelled & O_Cancelled,2016-02-14T12:20:09.889326,User_7,2016-02-14T11:36:05.414288,2016-02-14T12:20:09.689326,2644.275038,True
Case_1,O_Sent (mail and online),2016-02-14T13:22:22.862496,User_71,2016-02-14T12:18:04.100162,2016-02-14T13:22:22.762496,3858.662334,True
Case_1,W_Call after offers & A_Complete,2016-04-10T04:02:38.790712,User_17,2016-02-14T13:22:22.862496,2016-02-14T13:22:22.862496,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-10T04:16:14.486251,User_126,2016-04-10T04:02:38.790712,2016-04-10T04:02:38.790712,0.0,False
