case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-07T19:06:56.001411,User_1,2016-02-01T10:00:00.117497,2016-02-07T19:06:55.776516,551215.659019,True
Case_1,W_Handle leads,2016-02-07T19:47:33.078893,User_38,2016-02-07T19:06:56.001411,2016-02-07T19:06:56.001411,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-08T13:28:42.626027,User_86,2016-02-07T19:47:33.078893,2016-02-08T13:28:19.001273,63645.92238,True
Case_1,A_Accepted,2016-02-09T21:20:48.845387,User_88,2016-02-08T13:28:42.626027,2016-02-09T21:18:11.989347,114569.36332,True
Case_1,O_Create Offer & O_Created,2016-02-09T21:27:52.001573,User_130,2016-02-09T21:20:48.845387,2016-02-09T21:20:52.142445,3.297058,True
Case_1,O_Sent (mail and online),2016-02-09T22:10:22.250988,User_146,2016-02-09T21:27:52.001573,2016-02-09T21:27:52.001573,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-09T22:15:25.127967,User_146,2016-02-09T22:10:22.250988,2016-02-09T22:10:35.969512,13.718524,True
Case_1,O_Sent (mail and online),2016-02-09T22:15:45.590918,User_137,2016-02-09T22:15:25.127967,2016-02-09T22:15:45.490918,20.362951,True
Case_1,W_Call after offers & A_Complete,2016-02-10T22:07:08.649235,User_96,2016-02-09T22:10:22.250988,2016-02-10T21:37:33.256665,84431.005677,True
Case_1,W_Call after offers & A_Complete,2016-02-10T23:20:14.593892,User_63,2016-02-09T22:15:45.590918,2016-02-10T23:16:12.424116,90026.833198,True
Case_1,O_Create Offer & O_Created,2016-02-12T13:05:26.408148,User_137,2016-02-10T22:07:08.649235,2016-02-12T13:05:17.403682,140288.754447,True
Case_1,O_Create Offer & O_Created,2016-02-12T13:43:35.180651,User_119,2016-02-10T23:20:14.593892,2016-02-12T13:38:41.228797,137906.634905,True
Case_1,W_Validate application & A_Validating,2016-02-12T14:59:36.072584,User_137,2016-02-10T23:20:14.593892,2016-02-12T13:29:28.493180,137353.899288,True
Case_1,O_Sent (mail and online),2016-02-13T10:24:01.921723,User_112,2016-02-12T13:05:26.408148,2016-02-13T10:23:59.070562,76712.662414,True
Case_1,O_Sent (mail and online),2016-02-13T10:29:42.685665,User_60,2016-02-12T13:43:35.180651,2016-02-13T10:29:42.585665,74767.405014,True
Case_1,O_Returned,2016-02-13T10:46:53.670454,User_112,2016-02-12T14:59:36.072584,2016-02-13T10:40:38.882189,70862.809605,True
Case_1,W_Call after offers & A_Complete,2016-02-14T11:04:10.315062,User_108,2016-02-13T10:24:01.921723,2016-02-14T11:03:37.166989,88775.245266,True
Case_1,W_Call after offers & A_Complete,2016-02-14T11:07:19.132085,User_108,2016-02-13T10:29:42.685665,2016-02-14T11:04:10.315062,88467.629397,True
Case_1,W_Validate application & A_Validating,2016-02-15T14:50:18.642862,User_125,2016-02-14T11:07:19.132085,2016-02-15T14:48:19.252161,99660.120076,True
Case_1,W_Validate application & A_Validating,2016-02-15T14:51:57.806664,User_125,2016-02-14T11:04:10.315062,2016-02-15T14:51:55.678202,100065.36314,True
Case_1,O_Returned,2016-02-17T06:33:49.727318,User_87,2016-02-15T14:50:18.642862,2016-02-17T06:28:54.943256,142716.300394,True
Case_1,O_Returned,2016-02-17T06:37:45.880376,User_87,2016-02-15T14:51:57.806664,2016-02-17T06:33:49.727318,142911.920654,True
Case_1,END,2016-02-17T06:37:45.880376,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_1,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-07T19:06:57.304086,User_1,2016-02-01T12:39:38.285902,2016-02-07T19:06:57.091828,541638.805926,True
Case_10,W_Complete application & A_Concept,2016-02-08T06:42:06.192429,User_15,2016-02-07T19:06:57.304086,2016-02-07T19:06:57.304086,0.0,False
