case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_18,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-14T06:31:00.589278,User_1,2016-02-01T10:00:00.117497,2016-02-14T06:31:00.100000,1110659.982503,True
Case_1,W_Complete application & A_Concept,2016-02-14T16:49:40.304073,User_41,2016-02-14T06:31:00.589278,2016-02-14T06:31:00.589278,0.0,False
Case_1,A_Accepted,2016-02-14T17:02:27.302449,User_10,2016-02-14T16:49:40.304073,2016-02-14T16:49:40.304073,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-15T07:51:14.105424,User_100,2016-02-14T17:02:27.302449,2016-02-15T07:49:57.890041,53250.587592,True
Case_1,O_Sent (mail and online),2016-02-15T08:05:12.897481,User_114,2016-02-15T07:51:14.105424,2016-02-15T08:05:12.797481,838.692057,True
Case_1,W_Call after offers & A_Complete,2016-02-15T08:06:10.720702,User_96,2016-02-15T08:05:12.897481,2016-02-15T08:05:12.897481,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-15T08:15:32.532725,User_5,2016-02-15T08:05:12.897481,2016-02-15T08:05:12.897481,0.0,False
Case_1,O_Sent (mail and online),2016-02-16T09:32:57.082687,User_115,2016-02-15T08:15:32.532725,2016-02-16T09:32:56.982687,91044.449962,True
Case_1,O_Create Offer & O_Created,2016-02-16T09:51:24.007625,User_118,2016-02-16T09:32:57.082687,2016-02-16T09:51:12.850506,1095.767819,True
Case_1,O_Sent (mail and online),2016-02-16T09:51:53.344871,User_47,2016-02-16T09:51:24.007625,2016-02-16T09:51:24.007625,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-16T10:11:08.495421,User_140,2016-02-16T09:51:53.344871,2016-02-16T09:51:53.344871,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-18T08:39:00.547206,User_21,2016-02-15T08:06:10.720702,2016-02-18T08:39:00.347206,261169.626504,True
Case_1,W_Call after offers & A_Complete,2016-04-16T09:35:10.701468,User_3,2016-02-16T09:32:57.082687,2016-02-16T09:32:57.082687,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-16T09:35:19.292555,User_114,2016-04-16T09:35:10.701468,2016-04-16T09:35:10.701468,0.0,False
Case_1,O_Returned,2016-04-16T09:35:37.310122,User_100,2016-04-16T09:35:19.292555,2016-04-16T09:35:19.292555,0.0,False
Case_1,A_Incomplete,2016-04-16T09:37:15.839211,User_102,2016-04-16T09:35:37.310122,2016-04-16T09:35:37.310122,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-16T10:13:30.858731,User_125,2016-02-16T10:11:08.495421,2016-02-16T10:11:08.495421,0.0,False
Case_1,O_Returned,2016-04-16T10:18:33.530067,User_2,2016-04-16T10:13:30.858731,2016-04-16T10:13:30.858731,0.0,False
Case_1,A_Validating,2016-05-15T09:20:52.927974,User_116,2016-04-16T09:37:15.839211,2016-05-15T09:20:44.315001,2504608.47579,True
Case_1,END,2016-05-15T09:20:52.927974,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_30,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-14T06:31:03.657637,User_1,2016-02-01T12:39:38.285902,2016-02-14T06:31:03.062988,1101084.777086,True
Case_10,W_Handle leads,2016-02-14T06:31:21.864723,User_142,2016-02-14T06:31:03.657637,2016-02-14T06:31:03.657637,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-17T14:26:35.345621,User_19,2016-02-14T06:31:21.864723,2016-02-14T06:31:21.864723,0.0,False
Case_10,A_Accepted,2016-02-18T05:39:07.313917,User_87,2016-02-17T14:26:35.345621,2016-02-18T05:28:00,54084.654379,True
Case_10,O_Create Offer & O_Created,2016-02-18T08:48:07.525429,User_41,2016-02-18T05:39:07.313917,2016-02-18T08:48:00,11332.686083,True
Case_10,O_Sent (mail and online),2016-02-18T08:48:07.757477,User_87,2016-02-18T08:48:07.525429,2016-02-18T08:48:07.525429,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-18T08:58:33.437413,User_73,2016-02-18T08:48:07.757477,2016-02-18T08:48:07.757477,0.0,False
Case_10,W_Validate application & A_Validating,2016-03-04T03:08:13.284633,User_48,2016-02-18T08:58:33.437413,2016-02-18T08:58:33.437413,0.0,False
Case_10,O_Returned,2016-03-04T08:46:22.636403,User_112,2016-03-04T03:08:13.284633,2016-03-04T08:45:00,20206.715367,True
Case_10,A_Incomplete,2016-03-04T08:47:24.605116,User_100,2016-03-04T08:46:22.636403,2016-03-04T08:46:22.636403,0.0,False
Case_10,A_Validating,2016-03-04T08:48:00.154356,User_49,2016-03-04T08:47:24.605116,2016-03-04T08:47:24.605116,0.0,False
Case_10,END,2016-03-04T08:48:00.154356,,,,0.0,False
Case_100,A_Create Application,2016-02-02T13:38:55.170003,User_85,2016-02-02T13:38:54.975443,2016-02-02T13:38:54.975443,0.0,False
Case_100,A_Submitted,2016-02-14T06:31:32.274020,User_1,2016-02-02T13:38:55.170003,2016-02-14T06:31:32.090458,1011156.920455,True
Case_100,W_Handle leads,2016-02-14T06:31:32.531057,User_138,2016-02-14T06:31:32.274020,2016-02-14T06:31:32.274020,0.0,False
Case_100,W_Complete application & A_Concept,2016-02-14T06:50:10.540430,User_13,2016-02-14T06:31:32.531057,2016-02-14T06:31:32.531057,0.0,False
Case_100,A_Accepted,2016-02-14T07:11:14.512500,User_87,2016-02-14T06:50:10.540430,2016-02-14T07:07:48.949005,1058.408575,True
Case_100,O_Create Offer & O_Created,2016-02-14T08:55:47.285131,User_28,2016-02-14T07:11:14.512500,2016-02-14T08:54:18.745461,6184.232961,True
Case_100,O_Sent (mail and online),2016-02-14T09:41:28.992932,User_10,2016-02-14T08:55:47.285131,2016-02-14T09:41:28.892932,2741.607801,True
Case_100,O_Create Offer & O_Created,2016-02-14T09:46:50.443871,User_29,2016-02-14T09:41:28.992932,2016-02-14T09:46:23.635663,294.642731,True
Case_100,O_Sent (mail and online),2016-02-14T10:02:53.868226,User_12,2016-02-14T09:46:50.443871,2016-02-14T10:02:53.768226,963.324355,True
Case_100,W_Call after offers & A_Complete,2016-02-14T10:03:36.290337,User_36,2016-02-14T10:02:53.868226,2016-02-14T10:02:53.868226,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-14T10:03:44.848500,User_29,2016-02-14T10:03:36.290337,2016-02-14T10:03:36.290337,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-14T10:06:02.181246,User_75,2016-02-14T10:02:53.868226,2016-02-14T10:05:54.404307,180.536081,True
Case_100,W_Validate application & A_Validating,2016-02-14T10:08:03.473921,User_146,2016-02-14T10:03:36.290337,2016-02-14T10:03:36.290337,0.0,False
Case_100,O_Returned,2016-02-14T10:12:40.691359,User_31,2016-02-14T10:08:03.473921,2016-02-14T10:08:03.473921,0.0,False
Case_100,O_Sent (mail and online),2016-02-14T15:32:33.599015,User_113,2016-02-14T10:06:02.181246,2016-02-14T15:32:33.499015,19591.317769,True
Case_100,W_Call after offers & A_Complete,2016-02-14T15:36:28.571738,User_83,2016-02-14T15:32:33.599015,2016-02-14T15:32:33.599015,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-14T15:42:04.709133,User_102,2016-02-14T15:36:28.571738,2016-02-14T15:36:28.571738,0.0,False
Case_100,O_Returned,2016-02-15T07:49:47.793414,User_30,2016-02-14T15:42:04.709133,2016-02-15T07:48:12.970386,57968.261253,True
Case_100,A_Incomplete,2016-02-15T10:27:40.825724,User_102,2016-02-15T07:49:47.793414,2016-02-15T10:27:28.048573,9460.255159,True
Case_100,A_Validating,2016-02-15T10:27:42.383094,User_37,2016-02-15T10:27:40.825724,2016-02-15T10:27:40.825724,0.0,False
Case_100,O_Sent (mail and online),2016-02-16T08:06:09.694851,User_115,2016-02-14T10:03:44.848500,2016-02-16T08:06:08.876281,165744.027781,True
Case_100,W_Call after offers & A_Complete,2016-02-16T08:07:30.491706,User_40,2016-02-16T08:06:09.694851,2016-02-16T08:06:09.694851,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-16T08:08:30.465913,User_51,2016-02-16T08:07:30.491706,2016-02-16T08:07:30.491706,0.0,False
Case_100,O_Returned,2016-02-16T08:54:57.143586,User_100,2016-02-16T08:08:30.465913,2016-02-16T08:53:52.956316,2722.490403,True
Case_100,END,2016-02-16T08:54:57.143586,,,,0.0,False
Case_1000,A_Create Application,2016-02-14T08:26:00.425203,User_102,2016-02-14T02:11:59.829439,2016-02-14T08:26:00.325203,22440.495764,True
Case_1000,A_Submitted,2016-02-14T08:26:01.001802,User_1,2016-02-14T08:26:00.425203,2016-02-14T08:26:00.768612,0.343409,True
