case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-07T18:43:32.481980,User_1,2016-02-01T10:00:00.117497,2016-02-07T18:43:32.257085,549812.139588,True
Case_1,W_Handle leads,2016-02-07T18:43:32.616916,User_123,2016-02-07T18:43:32.481980,2016-02-07T18:43:32.481980,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-07T21:40:27.210387,User_89,2016-02-07T18:43:32.616916,2016-02-07T18:43:32.616916,0.0,False
Case_1,A_Accepted,2016-02-08T08:17:07.160688,User_4,2016-02-07T21:40:27.210387,2016-02-08T08:14:24.438680,38037.228293,True
Case_1,O_Create Offer & O_Created,2016-02-08T09:19:21.869339,User_17,2016-02-08T08:17:07.160688,2016-02-08T09:16:51.032966,3583.872278,True
Case_1,O_Sent (mail and online),2016-02-08T12:09:31.234706,User_70,2016-02-08T09:19:21.869339,2016-02-08T12:09:24.196517,10202.327178,True
Case_1,O_Create Offer & O_Created,2016-02-08T12:12:26.388533,User_47,2016-02-08T12:09:31.234706,2016-02-08T12:09:31.234706,0.0,False
Case_1,O_Sent (mail and online),2016-02-11T12:54:12.589758,User_99,2016-02-08T12:12:26.388533,2016-02-11T12:54:12.489758,261706.101225,True
Case_1,W_Call after offers & A_Complete,2016-02-11T12:54:53.535865,User_84,2016-02-11T12:54:12.589758,2016-02-11T12:54:12.589758,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-11T12:54:53.735865,User_114,2016-02-11T12:54:53.535865,2016-02-11T12:54:53.535865,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-11T12:54:58.882538,User_113,2016-02-11T12:54:12.589758,2016-02-11T12:54:12.589758,0.0,False
Case_1,O_Sent (mail and online),2016-02-11T12:55:03.702028,User_115,2016-02-11T12:54:58.882538,2016-02-11T12:54:58.882538,0.0,False
Case_1,W_Call after offers & A_Complete,2016-04-11T12:59:08.875841,User_52,2016-02-11T12:55:03.702028,2016-02-11T12:55:03.702028,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-11T12:59:23.396999,User_1,2016-04-11T12:59:08.875841,2016-04-11T12:59:08.875841,0.0,False
Case_1,O_Returned,2016-04-11T13:06:51.198342,User_95,2016-04-11T12:59:23.396999,2016-04-11T12:59:23.396999,0.0,False
Case_1,A_Incomplete,2016-04-11T13:08:59.583821,User_99,2016-04-11T13:06:51.198342,2016-04-11T13:06:51.198342,0.0,False
Case_1,A_Validating,2016-04-11T13:09:24.274533,User_1,2016-04-11T13:08:59.583821,2016-04-11T13:08:59.583821,0.0,False
Case_1,A_Incomplete,2016-04-11T13:09:53.231316,User_10,2016-04-11T13:09:24.274533,2016-04-11T13:09:24.274533,0.0,False
Case_1,END,2016-04-11T13:09:53.231316,,,,0.0,False
