case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-13T21:05:36.023842,User_1,2016-02-01T10:00:00.117497,2016-02-13T21:05:35.534564,1076735.417067,True
Case_1,W_Handle leads,2016-02-13T21:05:36.123842,User_89,2016-02-13T21:05:36.023842,2016-02-13T21:05:36.023842,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-15T02:57:48.296048,User_41,2016-02-13T21:05:36.123842,2016-02-14T14:18:57.825052,62001.70121,True
Case_1,A_Accepted,2016-02-19T14:01:46.637570,User_107,2016-02-15T02:57:48.296048,2016-02-19T13:58:29.709802,385241.413754,True
Case_1,O_Create Offer & O_Created,2016-02-19T14:01:50.571034,User_107,2016-02-19T14:01:46.637570,2016-02-19T14:01:46.637570,0.0,False
Case_1,O_Sent (mail and online),2016-02-19T14:01:54.342082,User_139,2016-02-19T14:01:50.571034,2016-02-19T14:01:50.571034,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-23T10:05:04.201288,User_71,2016-02-19T14:01:54.342082,2016-02-23T09:22:03.071598,328808.729516,True
Case_1,W_Validate application & A_Validating,2016-03-04T10:54:19.281162,User_137,2016-02-23T10:05:04.201288,2016-03-04T10:54:10.085753,866945.884465,True
Case_1,O_Returned,2016-04-15T23:17:27.525691,User_134,2016-03-04T10:54:19.281162,2016-04-15T23:15:06.274028,3673246.992866,True
Case_1,END,2016-04-15T23:17:27.525691,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_1,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-13T21:05:39.092201,User_1,2016-02-01T12:39:38.285902,2016-02-13T21:05:38.497552,1067160.21165,True
Case_10,W_Complete application & A_Concept,2016-02-19T17:58:45.647869,User_50,2016-02-13T21:05:39.092201,2016-02-13T21:05:39.092201,0.0,False
Case_10,A_Accepted,2016-02-19T18:02:29.895311,User_1,2016-02-19T17:58:45.647869,2016-02-19T17:58:45.647869,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-19T18:02:38.345105,User_1,2016-02-19T18:02:29.895311,2016-02-19T18:02:29.895311,0.0,False
Case_10,O_Sent (mail and online),2016-02-19T18:11:57.306135,User_27,2016-02-19T18:02:38.345105,2016-02-19T18:02:38.345105,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-19T18:12:03.528121,User_126,2016-02-19T18:11:57.306135,2016-02-19T18:11:57.306135,0.0,False
Case_10,O_Sent (mail and online),2016-02-19T23:30:38.431841,User_139,2016-02-19T18:12:03.528121,2016-02-19T23:30:38.141448,19114.613327,True
