case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_87,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-13T10:42:10.383784,User_1,2016-02-01T10:00:00.100000,2016-02-13T10:42:09.897008,1039329.797008,True
Case_1,W_Handle leads,2016-02-13T11:48:27.582375,User_109,2016-02-13T10:42:10.383784,2016-02-13T10:42:10.383784,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-13T11:48:43.918750,User_51,2016-02-13T11:48:27.582375,2016-02-13T11:48:27.582375,0.0,False
Case_1,A_Accepted,2016-02-15T15:07:07.808007,User_47,2016-02-13T11:48:43.918750,2016-02-15T15:05:44.321651,184620.402901,True
Case_1,O_Create Offer & O_Created,2016-02-15T17:46:20.889156,User_18,2016-02-15T15:07:07.808007,2016-02-15T17:41:46.331933,9278.523926,True
Case_1,O_Sent (mail and online),2016-02-16T08:15:12.715545,User_113,2016-02-15T17:46:20.889156,2016-02-16T08:15:11.864216,52130.97506,True
Case_1,O_Create Offer & O_Created,2016-02-16T08:17:57.470471,User_112,2016-02-16T08:15:12.715545,2016-02-16T08:15:12.715545,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-16T08:26:07.648250,User_124,2016-02-16T08:15:12.715545,2016-02-16T08:15:12.715545,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-16T08:26:14.139384,User_94,2016-02-16T08:26:07.648250,2016-02-16T08:26:07.648250,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-16T08:44:31.263436,User_18,2016-02-16T08:26:07.648250,2016-02-16T08:43:21.059575,1033.411325,True
Case_1,O_Sent (mail and online),2016-02-16T08:44:31.363436,User_13,2016-02-16T08:44:31.263436,2016-02-16T08:44:31.263436,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-16T08:57:08.273461,User_47,2016-02-16T08:44:31.363436,2016-02-16T08:44:31.363436,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-16T08:58:41.398358,User_45,2016-02-16T08:57:08.273461,2016-02-16T08:57:08.273461,0.0,False
Case_1,O_Returned,2016-02-16T09:01:42.628750,User_112,2016-02-16T08:58:41.398358,2016-02-16T08:58:41.398358,0.0,False
Case_1,O_Sent (mail and online),2016-02-16T09:26:44.612391,User_29,2016-02-16T08:17:57.470471,2016-02-16T09:26:43.760670,4126.290199,True
Case_1,A_Incomplete,2016-02-16T10:05:49.149565,User_29,2016-02-16T09:01:42.628750,2016-02-16T10:05:40.327969,3837.699219,True
Case_1,O_Returned,2016-02-16T13:14:31.287366,User_101,2016-02-16T08:26:14.139384,2016-02-16T13:13:02.389017,17208.249633,True
Case_1,W_Call after offers & A_Complete,2016-04-16T09:29:10.652137,User_95,2016-02-16T09:26:44.612391,2016-02-16T09:26:44.612391,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-16T09:30:51.956285,User_42,2016-04-16T09:29:10.652137,2016-04-16T09:29:10.652137,0.0,False
Case_1,O_Returned,2016-04-16T09:52:01.703972,User_100,2016-04-16T09:30:51.956285,2016-04-16T09:30:51.956285,0.0,False
Case_1,A_Incomplete,2016-04-16T09:52:10.369631,User_36,2016-04-16T09:52:01.703972,2016-04-16T09:52:01.703972,0.0,False
Case_1,END,2016-04-16T09:52:10.369631,,,,0.0,False
Case_10,A_Create Application,2016-02-01T10:56:09.406343,User_15,2016-02-01T10:56:09.306343,2016-02-01T10:56:09.306343,0.0,False
Case_10,A_Submitted,2016-02-13T10:42:12.902433,User_1,2016-02-01T10:56:09.406343,2016-02-13T10:42:12.700482,1035963.294139,True
Case_10,W_Complete application & A_Concept,2016-02-17T12:53:03.392064,User_31,2016-02-13T10:42:12.902433,2016-02-13T10:42:12.902433,0.0,False
Case_10,A_Accepted,2016-02-17T14:30:45.754156,User_38,2016-02-17T12:53:03.392064,2016-02-17T14:24:24.080732,5480.688668,True
Case_10,O_Create Offer & O_Created,2016-02-17T14:31:29.944883,User_35,2016-02-17T14:30:45.754156,2016-02-17T14:30:45.754156,0.0,False
Case_10,O_Sent (mail and online),2016-02-18T09:57:21.782920,User_24,2016-02-17T14:31:29.944883,2016-02-18T09:57:21.682920,69951.738037,True
Case_10,O_Create Offer & O_Created,2016-02-18T09:59:21.118158,User_12,2016-02-18T09:57:21.782920,2016-02-18T09:57:21.782920,0.0,False
Case_10,O_Sent (mail and online),2016-02-18T09:59:21.218158,User_2,2016-02-18T09:59:21.118158,2016-02-18T09:59:21.118158,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-18T10:00:17.472627,User_108,2016-02-18T09:59:21.218158,2016-02-18T09:59:21.218158,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-18T10:00:59.413322,User_25,2016-02-18T10:00:17.472627,2016-02-18T10:00:17.472627,0.0,False
Case_10,O_Sent (mail and online),2016-02-18T10:00:59.513322,User_21,2016-02-18T10:00:59.413322,2016-02-18T10:00:59.413322,0.0,False
