case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.857987,User_2,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T08:11:00.777523,User_1,2016-02-01T10:00:00.857987,2016-02-02T08:11:00.358334,79859.500347,True
Case_1,W_Complete application & A_Concept,2016-02-04T22:48:41.095677,User_8,2016-02-02T08:11:00.777523,2016-02-02T08:11:00.777523,0.0,False
Case_1,A_Accepted,2016-02-05T09:45:20.529248,User_8,2016-02-04T22:48:41.095677,2016-02-05T09:39:00,39018.904323,True
Case_1,O_Create Offer & O_Created,2016-02-05T09:45:56.761184,User_4,2016-02-05T09:45:20.529248,2016-02-05T09:45:20.529248,0.0,False
Case_1,O_Sent (mail and online),2016-02-05T09:45:56.861184,User_95,2016-02-05T09:45:56.761184,2016-02-05T09:45:56.761184,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-05T09:47:43.567909,User_94,2016-02-05T09:45:56.861184,2016-02-05T09:45:56.861184,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-05T09:48:20.234189,User_12,2016-02-05T09:47:43.567909,2016-02-05T09:47:43.567909,0.0,False
Case_1,O_Sent (mail and online),2016-02-05T09:48:27.905884,User_2,2016-02-05T09:48:20.234189,2016-02-05T09:48:20.234189,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-05T09:48:31.436124,User_24,2016-02-05T09:48:27.905884,2016-02-05T09:48:27.905884,0.0,False
Case_1,O_Sent (mail and online),2016-02-05T09:48:31.588007,User_30,2016-02-05T09:48:31.436124,2016-02-05T09:48:31.436124,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-05T09:53:43.335554,User_28,2016-02-05T09:48:31.588007,2016-02-05T09:48:31.588007,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-05T09:53:58.436864,User_36,2016-02-05T09:53:43.335554,2016-02-05T09:53:43.335554,0.0,False
Case_1,O_Returned,2016-02-05T09:54:29.814500,User_113,2016-02-05T09:53:58.436864,2016-02-05T09:53:58.436864,0.0,False
Case_1,W_Call after offers & A_Complete,2016-03-01T08:37:48.564582,User_87,2016-02-05T09:48:27.905884,2016-02-05T09:48:27.905884,0.0,False
Case_1,W_Validate application & A_Validating,2016-03-01T08:38:45.223342,User_123,2016-03-01T08:37:48.564582,2016-03-01T08:37:48.564582,0.0,False
Case_1,O_Returned,2016-03-01T08:43:18.291651,User_31,2016-03-01T08:38:45.223342,2016-03-01T08:38:45.223342,0.0,False
Case_1,END,2016-03-01T08:43:18.291651,,,,0.0,False
Case_10,A_Create Application,2016-02-01T11:51:09.118340,User_74,2016-02-01T11:51:09.018340,2016-02-01T11:51:09.018340,0.0,False
Case_10,A_Submitted,2016-02-02T08:11:03.781986,User_1,2016-02-01T11:51:09.118340,2016-02-02T08:11:03.559444,73194.441104,True
Case_10,W_Handle leads,2016-02-02T08:11:03.881986,User_67,2016-02-02T08:11:03.781986,2016-02-02T08:11:03.781986,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-02T14:01:29.522290,User_105,2016-02-02T08:11:03.881986,2016-02-02T08:11:03.881986,0.0,False
Case_10,A_Accepted,2016-02-02T14:07:07.281344,User_95,2016-02-02T14:01:29.522290,2016-02-02T14:01:29.522290,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T14:10:14.924103,User_29,2016-02-02T14:07:07.281344,2016-02-02T14:07:07.281344,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T14:10:15.024103,User_10,2016-02-02T14:10:14.924103,2016-02-02T14:10:14.924103,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T14:11:01.320725,User_10,2016-02-02T14:10:15.024103,2016-02-02T14:10:15.024103,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-02T14:12:54.814696,User_30,2016-02-02T14:10:15.024103,2016-02-02T14:10:15.024103,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T14:13:13.182998,User_5,2016-02-02T14:12:54.814696,2016-02-02T14:12:54.814696,0.0,False
Case_10,O_Sent (mail and online),2016-02-03T05:59:00.100000,User_68,2016-02-02T14:11:01.320725,2016-02-03T05:59:00,56878.679275,True
Case_10,W_Call after offers & A_Complete,2016-02-03T06:01:13.311700,User_27,2016-02-03T05:59:00.100000,2016-02-03T05:59:00.100000,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-02-03T07:25:57.237895,User_14,2016-02-03T06:01:13.311700,2016-02-03T07:25:56.990134,5083.678434,True
Case_10,O_Sent (mail and online),2016-02-03T08:41:00.300000,User_26,2016-02-02T14:13:13.182998,2016-02-03T08:41:00.200000,66467.017002,True
Case_10,W_Call after offers & A_Complete,2016-02-04T00:33:46.731392,User_35,2016-02-03T08:41:00.300000,2016-02-03T08:41:00.300000,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-04T03:01:36.452018,User_113,2016-02-04T00:33:46.731392,2016-02-04T00:33:46.731392,0.0,False
Case_10,O_Returned,2016-02-04T08:00:38.763925,User_100,2016-02-04T03:01:36.452018,2016-02-04T07:53:59.321883,17542.869865,True
Case_10,END,2016-02-04T08:00:38.763925,,,,0.0,False
Case_100,A_Create Application,2016-02-02T08:40:17.090564,User_68,2016-02-02T08:40:16.898655,2016-02-02T08:40:16.898655,0.0,False
Case_100,A_Submitted,2016-02-02T08:40:17.838358,User_1,2016-02-02T08:40:17.090564,2016-02-02T08:40:17.090564,0.0,False
Case_100,W_Complete application & A_Concept,2016-02-02T09:44:26.327106,User_71,2016-02-02T08:40:17.838358,2016-02-02T08:40:17.838358,0.0,False
Case_100,A_Accepted,2016-02-02T09:46:23.002033,User_9,2016-02-02T09:44:26.327106,2016-02-02T09:44:26.327106,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-02T09:46:28.593205,User_47,2016-02-02T09:46:23.002033,2016-02-02T09:46:23.002033,0.0,False
