case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T13:05:43.157015,User_1,2016-02-01T10:00:00.100000,2016-02-02T13:05:42.599096,97542.499096,True
Case_1,W_Handle leads,2016-02-02T13:05:43.257015,User_35,2016-02-02T13:05:43.157015,2016-02-02T13:05:43.157015,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-15T03:56:06.375663,User_97,2016-02-02T13:05:43.257015,2016-02-02T13:05:43.257015,0.0,False
Case_1,A_Accepted,2016-02-15T05:53:54.777937,User_75,2016-02-15T03:56:06.375663,2016-02-15T05:52:00,6953.624337,True
Case_1,O_Create Offer & O_Created,2016-02-15T05:54:36.249991,User_75,2016-02-15T05:53:54.777937,2016-02-15T05:53:54.777937,0.0,False
Case_1,O_Sent (mail and online),2016-02-15T05:54:48.258124,User_75,2016-02-15T05:54:36.249991,2016-02-15T05:54:36.249991,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-15T05:54:55.036751,User_75,2016-02-15T05:54:48.258124,2016-02-15T05:54:48.258124,0.0,False
Case_1,O_Sent (mail and online),2016-02-15T07:05:12.740921,User_75,2016-02-15T05:54:55.036751,2016-02-15T05:54:55.036751,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-15T07:05:37.662713,User_1,2016-02-15T07:05:12.740921,2016-02-15T07:05:12.740921,0.0,False
Case_1,O_Sent (mail and online),2016-02-15T07:05:37.762713,User_1,2016-02-15T07:05:37.662713,2016-02-15T07:05:37.662713,0.0,False
Case_1,W_Call after offers & A_Complete,2016-04-15T07:08:44.664891,User_78,2016-02-15T07:05:37.762713,2016-02-15T07:05:37.762713,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-15T07:09:28.633036,User_27,2016-04-15T07:08:44.664891,2016-04-15T07:08:44.664891,0.0,False
Case_1,O_Returned,2016-04-15T07:22:31.459463,User_30,2016-04-15T07:09:28.633036,2016-04-15T07:09:28.633036,0.0,False
Case_1,END,2016-04-15T07:22:31.459463,,,,0.0,False
Case_10,A_Create Application,2016-02-01T11:55:34.410317,User_1,2016-02-01T11:55:34.310317,2016-02-01T11:55:34.310317,0.0,False
Case_10,A_Submitted,2016-02-02T13:05:45.458425,User_1,2016-02-01T11:55:34.410317,2016-02-02T13:05:45.207193,90610.796876,True
Case_10,W_Handle leads,2016-02-02T13:05:51.607388,User_14,2016-02-02T13:05:45.458425,2016-02-02T13:05:45.458425,0.0,False
