case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.497858,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T15:04:16.831052,User_1,2016-02-01T10:00:00.497858,2016-02-02T15:04:16.577766,104656.079908,True
Case_1,W_Handle leads,2016-02-02T15:14:59.788914,User_57,2016-02-02T15:04:16.831052,2016-02-02T15:04:16.831052,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-02T15:22:24.740743,User_7,2016-02-02T15:14:59.788914,2016-02-02T15:14:59.788914,0.0,False
Case_1,A_Accepted,2016-02-02T15:25:32.551844,User_17,2016-02-02T15:22:24.740743,2016-02-02T15:22:24.740743,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T15:26:05.439695,User_17,2016-02-02T15:25:32.551844,2016-02-02T15:25:32.551844,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T15:26:06.863469,User_17,2016-02-02T15:26:05.439695,2016-02-02T15:26:05.439695,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T15:29:03.186682,User_17,2016-02-02T15:26:06.863469,2016-02-02T15:26:06.863469,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T15:34:09.598664,User_105,2016-02-02T15:26:06.863469,2016-02-02T15:26:06.863469,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T15:37:39.090778,User_114,2016-02-02T15:34:09.598664,2016-02-02T15:34:09.598664,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T15:37:39.370028,User_31,2016-02-02T15:34:09.598664,2016-02-02T15:34:09.598664,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T15:37:39.892190,User_34,2016-02-02T15:37:39.370028,2016-02-02T15:37:39.370028,0.0,False
Case_1,O_Returned,2016-02-02T15:38:34.697329,User_101,2016-02-02T15:37:39.090778,2016-02-02T15:37:39.090778,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T15:39:21.476642,User_2,2016-02-02T15:37:39.892190,2016-02-02T15:37:39.892190,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T15:44:22.957447,User_87,2016-02-02T15:39:21.476642,2016-02-02T15:39:21.476642,0.0,False
Case_1,O_Returned,2016-02-02T15:45:55.313662,User_101,2016-02-02T15:44:22.957447,2016-02-02T15:44:22.957447,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T15:50:26.475865,User_17,2016-02-02T15:29:03.186682,2016-02-02T15:29:03.186682,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T15:51:31.959800,User_142,2016-02-02T15:50:26.475865,2016-02-02T15:50:26.475865,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T15:52:13.877125,User_111,2016-02-02T15:51:31.959800,2016-02-02T15:51:31.959800,0.0,False
Case_1,O_Returned,2016-02-02T15:54:59.464764,User_115,2016-02-02T15:52:13.877125,2016-02-02T15:52:13.877125,0.0,False
Case_1,A_Incomplete,2016-02-02T15:55:11.486853,User_115,2016-02-02T15:54:59.464764,2016-02-02T15:54:59.464764,0.0,False
Case_1,END,2016-02-02T15:55:11.486853,,,,0.0,False
Case_10,A_Create Application,2016-02-01T13:33:01.065074,User_1,2016-02-01T13:32:59.414688,2016-02-01T13:32:59.414688,0.0,False
Case_10,A_Submitted,2016-02-02T15:04:19.330414,User_1,2016-02-01T13:33:01.065074,2016-02-02T15:04:18.829592,91877.764518,True
Case_10,W_Handle leads,2016-03-06T22:47:10.925157,User_145,2016-02-02T15:04:19.330414,2016-02-02T15:04:19.330414,0.0,False
Case_10,W_Complete application & A_Concept,2016-03-07T00:54:12.832180,User_39,2016-03-06T22:47:10.925157,2016-03-06T22:47:10.925157,0.0,False
Case_10,A_Accepted,2016-03-07T06:18:00.899973,User_87,2016-03-07T00:54:12.832180,2016-03-07T06:15:00,19247.16782,True
Case_10,O_Create Offer & O_Created,2016-03-07T06:18:38.455944,User_87,2016-03-07T06:18:00.899973,2016-03-07T06:18:00.899973,0.0,False
Case_10,O_Sent (mail and online),2016-03-07T06:18:38.555944,User_87,2016-03-07T06:18:38.455944,2016-03-07T06:18:38.455944,0.0,False
Case_10,O_Create Offer & O_Created,2016-03-07T06:19:56.901410,User_87,2016-03-07T06:18:38.555944,2016-03-07T06:18:38.555944,0.0,False
Case_10,O_Sent (mail and online),2016-03-07T06:20:00.396248,User_87,2016-03-07T06:19:56.901410,2016-03-07T06:19:56.901410,0.0,False
Case_10,O_Create Offer & O_Created,2016-03-07T06:20:32.295980,User_87,2016-03-07T06:20:00.396248,2016-03-07T06:20:00.396248,0.0,False
Case_10,O_Sent (mail and online),2016-03-07T06:21:01.971542,User_87,2016-03-07T06:20:32.295980,2016-03-07T06:20:32.295980,0.0,False
Case_10,W_Call after offers & A_Complete,2016-03-07T06:22:59.901913,User_4,2016-03-07T06:20:00.396248,2016-03-07T06:20:00.396248,0.0,False
Case_10,W_Call after offers & A_Complete,2016-03-07T07:08:54.773803,User_22,2016-03-07T06:18:38.555944,2016-03-07T06:18:38.555944,0.0,False
Case_10,W_Validate application & A_Validating,2016-03-07T07:11:52.562979,User_50,2016-03-07T07:08:54.773803,2016-03-07T07:08:54.773803,0.0,False
Case_10,O_Returned,2016-03-07T07:13:30.790858,User_117,2016-03-07T07:11:52.562979,2016-03-07T07:11:52.562979,0.0,False
Case_10,A_Incomplete,2016-03-07T07:13:41.115432,User_117,2016-03-07T07:13:30.790858,2016-03-07T07:13:30.790858,0.0,False
Case_10,A_Validating,2016-03-07T07:13:56.951052,User_117,2016-03-07T07:13:41.115432,2016-03-07T07:13:41.115432,0.0,False
Case_10,A_Incomplete,2016-03-07T07:14:14.109396,User_117,2016-03-07T07:13:56.951052,2016-03-07T07:13:56.951052,0.0,False
Case_10,A_Validating,2016-03-07T07:15:24.680014,User_117,2016-03-07T07:14:14.109396,2016-03-07T07:14:14.109396,0.0,False
Case_10,W_Call after offers & A_Complete,2016-03-07T07:18:15.120395,User_56,2016-03-07T06:21:01.971542,2016-03-07T06:21:01.971542,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-03-07T07:18:15.320395,User_1,2016-03-07T07:18:15.120395,2016-03-07T07:18:15.120395,0.0,False
Case_10,W_Validate application & A_Validating,2016-05-06T06:23:32.010699,User_36,2016-03-07T06:22:59.901913,2016-03-07T06:22:59.901913,0.0,False
Case_10,O_Returned,2016-05-06T06:31:35.539780,User_30,2016-05-06T06:23:32.010699,2016-05-06T06:23:32.010699,0.0,False
Case_10,END,2016-05-06T06:31:35.539780,,,,0.0,False
Case_100,A_Create Application,2016-02-02T15:04:16.577766,User_1,2016-02-02T15:04:16.477766,2016-02-02T15:04:16.477766,0.0,False
Case_100,A_Submitted,2016-02-02T15:04:49.384657,User_1,2016-02-02T15:04:16.577766,2016-02-02T15:04:49.208761,32.630995,True
Case_100,W_Complete application & A_Concept,2016-02-02T20:39:44.078268,User_85,2016-02-02T15:04:49.384657,2016-02-02T15:04:49.384657,0.0,False
Case_100,A_Accepted,2016-02-02T20:41:15.046692,User_11,2016-02-02T20:39:44.078268,2016-02-02T20:39:44.078268,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-02T20:41:37.582741,User_44,2016-02-02T20:41:15.046692,2016-02-02T20:41:15.046692,0.0,False
Case_100,O_Sent (mail and online),2016-02-02T20:41:44.496710,User_44,2016-02-02T20:41:37.582741,2016-02-02T20:41:37.582741,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-02T20:41:48.162164,User_44,2016-02-02T20:41:44.496710,2016-02-02T20:41:44.496710,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-02T20:44:13.193510,User_57,2016-02-02T20:41:44.496710,2016-02-02T20:41:44.496710,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-02T20:44:16.534828,User_74,2016-02-02T20:44:13.193510,2016-02-02T20:44:13.193510,0.0,False
Case_100,O_Sent (mail and online),2016-02-02T20:44:16.634828,User_74,2016-02-02T20:44:16.534828,2016-02-02T20:44:16.534828,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-02T20:44:56.175976,User_11,2016-02-02T20:44:13.193510,2016-02-02T20:44:13.193510,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T00:21:32.683645,User_44,2016-02-02T20:41:48.162164,2016-02-02T20:41:48.162164,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-03T00:26:13.710627,User_28,2016-02-03T00:21:32.683645,2016-02-03T00:21:32.683645,0.0,False
Case_100,O_Returned,2016-02-03T06:07:49.973149,User_68,2016-02-02T20:44:56.175976,2016-02-03T06:03:17.501026,33501.32505,True
Case_100,W_Call after offers & A_Complete,2016-02-03T06:07:58.059685,User_55,2016-02-02T20:44:16.634828,2016-02-02T20:44:16.634828,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-03T06:08:41.955449,User_11,2016-02-03T06:07:58.059685,2016-02-03T06:07:58.059685,0.0,False
Case_100,A_Cancelled & O_Cancelled,2016-02-03T06:35:40.929729,User_68,2016-02-03T00:26:13.710627,2016-02-03T06:35:40.729729,22167.019102,True
Case_100,O_Returned,2016-02-03T06:45:00.903732,User_30,2016-02-03T06:08:41.955449,2016-02-03T06:44:00,2118.044551,True
Case_100,END,2016-02-03T06:45:00.903732,,,,0.0,False
Case_11,A_Create Application,2016-02-01T14:00:21.349396,User_1,2016-02-01T14:00:21.249396,2016-02-01T14:00:21.249396,0.0,False
Case_11,A_Submitted,2016-02-02T15:04:19.606956,User_1,2016-02-01T14:00:21.349396,2016-02-02T15:04:19.330414,90237.981018,True
Case_11,W_Complete application & A_Concept,2016-02-02T15:13:07.692601,User_54,2016-02-02T15:04:19.606956,2016-02-02T15:04:19.606956,0.0,False
Case_11,A_Accepted,2016-02-02T15:14:12.423962,User_15,2016-02-02T15:13:07.692601,2016-02-02T15:13:07.692601,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T15:14:56.757230,User_117,2016-02-02T15:14:12.423962,2016-02-02T15:14:12.423962,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T15:14:58.805072,User_117,2016-02-02T15:14:56.757230,2016-02-02T15:14:56.757230,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-02T15:21:12.851245,User_141,2016-02-02T15:14:58.805072,2016-02-02T15:14:58.805072,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T15:21:21.565660,User_101,2016-02-02T15:21:12.851245,2016-02-02T15:21:12.851245,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T15:21:21.665660,User_34,2016-02-02T15:21:21.565660,2016-02-02T15:21:21.565660,0.0,False
Case_11,W_Validate application & A_Validating,2016-02-02T15:24:28.783718,User_95,2016-02-02T15:21:12.851245,2016-02-02T15:21:12.851245,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T15:24:39.154647,User_101,2016-02-02T15:21:21.665660,2016-02-02T15:21:21.665660,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T15:24:39.254647,User_19,2016-02-02T15:24:39.154647,2016-02-02T15:24:39.154647,0.0,False
Case_11,O_Returned,2016-02-02T15:26:52.448076,User_2,2016-02-02T15:24:28.783718,2016-02-02T15:24:28.783718,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-02T15:32:38.314149,User_73,2016-02-02T15:21:21.665660,2016-02-02T15:21:21.665660,0.0,False
Case_11,W_Validate application & A_Validating,2016-02-02T15:33:12.020404,User_128,2016-02-02T15:32:38.314149,2016-02-02T15:32:38.314149,0.0,False
Case_11,O_Returned,2016-02-02T15:34:22.092380,User_115,2016-02-02T15:33:12.020404,2016-02-02T15:33:12.020404,0.0,False
Case_11,A_Incomplete,2016-02-02T15:35:51.594799,User_115,2016-02-02T15:34:22.092380,2016-02-02T15:34:22.092380,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-02T15:39:42.477582,User_73,2016-02-02T15:24:39.254647,2016-02-02T15:24:39.254647,0.0,False
Case_11,W_Validate application & A_Validating,2016-02-03T05:54:55.139827,User_71,2016-02-02T15:39:42.477582,2016-02-02T15:39:42.477582,0.0,False
Case_11,O_Returned,2016-02-03T06:44:25.541555,User_68,2016-02-03T05:54:55.139827,2016-02-03T06:42:57.266238,2882.126411,True
Case_11,END,2016-02-03T06:44:25.541555,,,,0.0,False
Case_12,A_Create Application,2016-02-01T14:02:54.301828,User_1,2016-02-01T14:02:54.201828,2016-02-01T14:02:54.201828,0.0,False
