case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T12:44:39.074118,User_1,2016-02-01T10:00:00.100000,2016-02-02T12:44:38.939348,96278.839348,True
Case_1,W_Complete application & A_Concept,2016-02-03T05:03:43.204003,User_17,2016-02-02T12:44:39.074118,2016-02-02T12:44:39.074118,0.0,False
Case_1,A_Accepted,2016-02-03T05:08:53.482642,User_50,2016-02-03T05:03:43.204003,2016-02-03T05:03:43.204003,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-03T05:10:30.637493,User_50,2016-02-03T05:08:53.482642,2016-02-03T05:08:53.482642,0.0,False
Case_1,O_Sent (mail and online),2016-02-03T05:10:30.877459,User_46,2016-02-03T05:10:30.637493,2016-02-03T05:10:30.637493,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-03T05:11:38.063660,User_124,2016-02-03T05:10:30.877459,2016-02-03T05:10:30.877459,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-03T05:11:38.263660,User_124,2016-02-03T05:11:38.063660,2016-02-03T05:11:38.063660,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-03T05:11:56.104549,User_46,2016-02-03T05:10:30.877459,2016-02-03T05:10:30.877459,0.0,False
Case_1,O_Sent (mail and online),2016-02-03T05:11:56.917975,User_46,2016-02-03T05:11:56.104549,2016-02-03T05:11:56.104549,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-03T05:14:50.197272,User_124,2016-02-03T05:11:56.917975,2016-02-03T05:11:56.917975,0.0,False
Case_1,O_Sent (mail and online),2016-02-03T05:14:50.297272,User_121,2016-02-03T05:14:50.197272,2016-02-03T05:14:50.197272,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-03T05:41:19.109193,User_46,2016-02-03T05:11:56.917975,2016-02-03T05:11:56.917975,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-03T05:43:46.429399,User_46,2016-02-03T05:41:19.109193,2016-02-03T05:41:19.109193,0.0,False
Case_1,O_Returned,2016-02-03T05:44:15.260973,User_121,2016-02-03T05:43:46.429399,2016-02-03T05:43:46.429399,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-03T05:55:36.363924,User_97,2016-02-03T05:14:50.297272,2016-02-03T05:14:50.297272,0.0,False
