case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.206332,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T13:27:54.049200,User_1,2016-02-01T10:00:00.206332,2016-02-02T13:27:53.833464,98873.627132,True
Case_1,W_Handle leads,2016-02-02T19:26:11.290529,User_17,2016-02-02T13:27:54.049200,2016-02-02T13:27:54.049200,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-02T19:26:24.950416,User_108,2016-02-02T19:26:11.290529,2016-02-02T19:26:11.290529,0.0,False
Case_1,A_Accepted,2016-02-02T19:29:38.550098,User_108,2016-02-02T19:26:24.950416,2016-02-02T19:26:24.950416,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T19:30:04.291206,User_44,2016-02-02T19:29:38.550098,2016-02-02T19:29:38.550098,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T19:30:04.391206,User_44,2016-02-02T19:30:04.291206,2016-02-02T19:30:04.291206,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T19:30:43.338129,User_44,2016-02-02T19:30:04.391206,2016-02-02T19:30:04.391206,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-02T19:30:44.043288,User_44,2016-02-02T19:30:43.338129,2016-02-02T19:30:43.338129,0.0,False
Case_1,END,2016-02-02T19:30:44.043288,,,,0.0,False
Case_10,A_Create Application,2016-02-01T14:14:16.413699,User_1,2016-02-01T14:14:16.229987,2016-02-01T14:14:16.229987,0.0,False
Case_10,A_Submitted,2016-02-02T13:27:54.808931,User_1,2016-02-01T14:14:16.413699,2016-02-02T13:27:54.365339,83617.95164,True
Case_10,W_Handle leads,2016-02-02T13:28:11.941688,User_19,2016-02-02T13:27:54.808931,2016-02-02T13:27:54.808931,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-02T13:31:25.166168,User_44,2016-02-02T13:28:11.941688,2016-02-02T13:28:11.941688,0.0,False
Case_10,A_Accepted,2016-02-02T13:33:09.487736,User_64,2016-02-02T13:31:25.166168,2016-02-02T13:31:25.166168,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T13:34:22.738018,User_136,2016-02-02T13:33:09.487736,2016-02-02T13:33:09.487736,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T13:34:22.838018,User_54,2016-02-02T13:34:22.738018,2016-02-02T13:34:22.738018,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-02T13:35:25.638653,User_54,2016-02-02T13:34:22.838018,2016-02-02T13:34:22.838018,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T13:36:53.164644,User_133,2016-02-02T13:35:25.638653,2016-02-02T13:35:25.638653,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T13:36:53.327372,User_96,2016-02-02T13:36:53.164644,2016-02-02T13:36:53.164644,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-02T13:38:18.214045,User_127,2016-02-02T13:35:25.638653,2016-02-02T13:35:25.638653,0.0,False
Case_10,O_Returned,2016-02-02T13:38:36.723978,User_127,2016-02-02T13:38:18.214045,2016-02-02T13:38:18.214045,0.0,False
Case_10,A_Incomplete,2016-02-02T13:39:00.716002,User_27,2016-02-02T13:38:36.723978,2016-02-02T13:38:36.723978,0.0,False
Case_10,A_Validating,2016-02-02T13:39:26.665561,User_27,2016-02-02T13:39:00.716002,2016-02-02T13:39:00.716002,0.0,False
Case_10,A_Incomplete,2016-02-02T13:39:35.074943,User_27,2016-02-02T13:39:26.665561,2016-02-02T13:39:26.665561,0.0,False
