case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_18,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-01T19:43:47.391415,User_1,2016-02-01T10:00:00.117497,2016-02-01T19:43:46.904960,35026.787463,True
Case_1,W_Complete application & A_Concept,2016-02-01T23:50:35.615494,User_50,2016-02-01T19:43:47.391415,2016-02-01T19:43:47.391415,0.0,False
Case_1,A_Accepted,2016-02-02T08:50:43.314131,User_74,2016-02-01T23:50:35.615494,2016-02-02T08:49:00.100000,32304.484506,True
Case_1,O_Create Offer & O_Created,2016-02-02T08:51:16.331887,User_120,2016-02-02T08:50:43.314131,2016-02-02T08:50:43.314131,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T08:53:09.231529,User_43,2016-02-02T08:51:16.331887,2016-02-02T08:53:09.131529,112.799642,True
Case_1,W_Call after offers & A_Complete,2016-02-02T09:07:56.244390,User_86,2016-02-02T08:53:09.231529,2016-02-02T08:53:09.231529,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T09:13:41.839673,User_137,2016-02-02T09:07:56.244390,2016-02-02T09:07:56.244390,0.0,False
Case_1,O_Returned,2016-02-02T10:58:43.338848,User_99,2016-02-02T09:13:41.839673,2016-02-02T10:57:36.449544,6234.609871,True
Case_1,A_Incomplete,2016-02-02T10:59:58.358949,User_43,2016-02-02T10:58:43.338848,2016-02-02T10:58:43.338848,0.0,False
Case_1,END,2016-02-02T10:59:58.358949,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_30,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-01T19:43:50.515261,User_1,2016-02-01T12:39:38.285902,2016-02-01T19:43:50.156530,25451.870628,True
Case_10,W_Complete application & A_Concept,2016-02-02T08:53:04.309174,User_69,2016-02-01T19:43:50.515261,2016-02-01T19:43:50.515261,0.0,False
Case_10,A_Accepted,2016-02-02T08:59:16.139242,User_35,2016-02-02T08:53:04.309174,2016-02-02T08:53:04.309174,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T09:06:08.317561,User_4,2016-02-02T08:59:16.139242,2016-02-02T09:05:00.171050,344.031808,True
Case_10,O_Sent (mail and online),2016-02-02T09:06:08.417561,User_30,2016-02-02T09:06:08.317561,2016-02-02T09:06:08.317561,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T09:14:27.087976,User_25,2016-02-02T09:06:08.417561,2016-02-02T09:06:08.417561,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T09:14:27.282272,User_102,2016-02-02T09:14:27.087976,2016-02-02T09:14:27.087976,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-02T09:18:33.024219,User_29,2016-02-02T09:14:27.282272,2016-02-02T09:14:27.282272,0.0,False
