case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_9,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-01T19:43:47.391415,User_1,2016-02-01T10:00:00.117497,2016-02-01T19:43:46.904960,35026.787463,True
Case_1,W_Complete application & A_Concept,2016-02-01T23:50:35.615494,User_86,2016-02-01T19:43:47.391415,2016-02-01T19:43:47.391415,0.0,False
Case_1,A_Accepted,2016-02-02T09:27:22.617705,User_17,2016-02-01T23:50:35.615494,2016-02-02T09:24:00,34404.384506,True
Case_1,O_Create Offer & O_Created,2016-02-02T09:29:42.502979,User_100,2016-02-02T09:27:22.617705,2016-02-02T09:27:22.617705,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T11:52:32.718817,User_8,2016-02-02T09:29:42.502979,2016-02-02T11:52:30.843150,8568.340171,True
Case_1,O_Create Offer & O_Created,2016-02-02T11:52:57.038332,User_28,2016-02-02T11:52:32.718817,2016-02-02T11:52:32.718817,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T11:52:57.220442,User_19,2016-02-02T11:52:57.038332,2016-02-02T11:52:57.038332,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T11:54:21.926449,User_68,2016-02-02T11:52:57.220442,2016-02-02T11:52:57.220442,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T11:55:01.135435,User_74,2016-02-02T11:54:21.926449,2016-02-02T11:54:21.926449,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T12:05:46.505222,User_79,2016-02-02T11:55:01.135435,2016-02-02T11:55:01.135435,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T12:11:58.275216,User_79,2016-02-02T12:05:46.505222,2016-02-02T12:05:46.505222,0.0,False
Case_1,O_Returned,2016-02-02T12:37:50.740542,User_115,2016-02-02T12:11:58.275216,2016-02-02T12:11:58.275216,0.0,False
Case_1,A_Incomplete,2016-02-02T12:38:15.492249,User_71,2016-02-02T12:37:50.740542,2016-02-02T12:37:50.740542,0.0,False
Case_1,W_Call after offers & A_Complete,2016-04-02T11:57:28.636465,User_67,2016-02-02T11:52:32.718817,2016-02-02T11:52:32.718817,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-02T11:58:40.337071,User_60,2016-04-02T11:57:28.636465,2016-04-02T11:57:28.636465,0.0,False
Case_1,O_Returned,2016-04-02T12:14:36.039991,User_68,2016-04-02T11:58:40.337071,2016-04-02T11:58:40.337071,0.0,False
Case_1,A_Incomplete,2016-04-02T12:15:32.615581,User_35,2016-04-02T12:14:36.039991,2016-04-02T12:14:36.039991,0.0,False
Case_1,END,2016-04-02T12:15:32.615581,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_68,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-01T19:43:50.156530,User_1,2016-02-01T12:39:38.285902,2016-02-01T19:43:49.864212,25451.57831,True
Case_10,W_Handle leads,2016-02-01T19:44:20.866574,User_138,2016-02-01T19:43:50.156530,2016-02-01T19:43:50.156530,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-01T19:44:21.185634,User_50,2016-02-01T19:44:20.866574,2016-02-01T19:44:20.866574,0.0,False
Case_10,A_Accepted,2016-02-02T08:50:41.386709,User_49,2016-02-01T19:44:21.185634,2016-02-02T08:46:00.100000,46898.914366,True
Case_10,O_Create Offer & O_Created,2016-02-02T08:55:58.761173,User_37,2016-02-02T08:50:41.386709,2016-02-02T08:55:04.979918,263.593209,True
Case_10,O_Sent (mail and online),2016-02-02T12:21:53.768868,User_47,2016-02-02T08:55:58.761173,2016-02-02T12:21:52.747884,12353.986711,True
Case_10,W_Call after offers & A_Complete,2016-02-02T12:37:08.774917,User_66,2016-02-02T12:21:53.768868,2016-02-02T12:21:53.768868,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-02T12:45:12.485958,User_26,2016-02-02T12:37:08.774917,2016-02-02T12:37:08.774917,0.0,False
Case_10,O_Returned,2016-02-02T12:52:05.050824,User_68,2016-02-02T12:45:12.485958,2016-02-02T12:45:12.485958,0.0,False
Case_10,END,2016-02-02T12:52:05.050824,,,,0.0,False
Case_100,A_Create Application,2016-02-02T13:38:55.170003,User_7,2016-02-02T13:38:54.975443,2016-02-02T13:38:54.975443,0.0,False
Case_100,A_Submitted,2016-02-02T13:38:55.398927,User_1,2016-02-02T13:38:55.170003,2016-02-02T13:38:55.170003,0.0,False
Case_100,W_Handle leads,2016-02-02T13:38:55.498927,User_146,2016-02-02T13:38:55.398927,2016-02-02T13:38:55.398927,0.0,False
Case_100,W_Complete application & A_Concept,2016-02-02T16:35:26.064026,User_11,2016-02-02T13:38:55.498927,2016-02-02T13:38:55.498927,0.0,False
Case_100,A_Accepted,2016-02-03T09:38:33.523908,User_49,2016-02-02T16:35:26.064026,2016-02-03T09:36:51.349503,61285.285477,True
Case_100,O_Create Offer & O_Created,2016-02-03T09:38:54.163226,User_87,2016-02-03T09:38:33.523908,2016-02-03T09:38:33.523908,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T09:42:22.995958,User_37,2016-02-03T09:38:54.163226,2016-02-03T09:42:22.895958,208.732732,True
Case_100,O_Create Offer & O_Created,2016-02-03T09:42:43.352583,User_87,2016-02-03T09:42:22.995958,2016-02-03T09:42:22.995958,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T09:43:11.917007,User_26,2016-02-03T09:42:43.352583,2016-02-03T09:43:11.817007,28.464424,True
Case_100,W_Call after offers & A_Complete,2016-02-03T09:46:56.464361,User_33,2016-02-03T09:42:22.995958,2016-02-03T09:42:22.995958,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-03T09:48:28.389901,User_63,2016-02-03T09:43:11.917007,2016-02-03T09:43:11.917007,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-03T09:48:30.134949,User_133,2016-02-03T09:48:28.389901,2016-02-03T09:48:28.389901,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-03T09:48:56.545435,User_87,2016-02-03T09:48:28.389901,2016-02-03T09:48:28.389901,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T09:48:56.645435,User_14,2016-02-03T09:48:56.545435,2016-02-03T09:48:56.545435,0.0,False
Case_100,O_Returned,2016-02-03T09:56:21.332599,User_2,2016-02-03T09:48:30.134949,2016-02-03T09:48:30.134949,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-03T10:15:45.963630,User_47,2016-02-03T09:48:56.645435,2016-02-03T09:48:56.645435,0.0,False
Case_100,A_Cancelled & O_Cancelled,2016-02-03T10:15:47.381285,User_18,2016-02-03T10:15:45.963630,2016-02-03T10:15:45.963630,0.0,False
Case_100,W_Validate application & A_Validating,2016-04-03T09:48:09.776908,User_112,2016-02-03T09:46:56.464361,2016-02-03T09:46:56.464361,0.0,False
Case_100,O_Returned,2016-04-03T09:50:21.933010,User_114,2016-04-03T09:48:09.776908,2016-04-03T09:48:09.776908,0.0,False
Case_100,END,2016-04-03T09:50:21.933010,,,,0.0,False
Case_11,A_Create Application,2016-02-01T12:45:53.206701,User_109,2016-02-01T12:45:53.106701,2016-02-01T12:45:53.106701,0.0,False
Case_11,A_Submitted,2016-02-01T19:43:50.515261,User_1,2016-02-01T12:45:53.206701,2016-02-01T19:43:50.156530,25076.949829,True
Case_11,W_Complete application & A_Concept,2016-02-02T08:53:04.309174,User_82,2016-02-01T19:43:50.515261,2016-02-01T19:43:50.515261,0.0,False
Case_11,A_Accepted,2016-02-02T09:50:46.306783,User_35,2016-02-02T08:53:04.309174,2016-02-02T09:44:07.346689,3063.037515,True
Case_11,O_Create Offer & O_Created,2016-02-02T13:12:01.382487,User_24,2016-02-02T09:50:46.306783,2016-02-02T13:11:14.551984,12028.245201,True
Case_11,O_Sent (mail and online),2016-02-02T13:38:30.107535,User_31,2016-02-02T13:12:01.382487,2016-02-02T13:38:30.007535,1588.625048,True
Case_11,O_Create Offer & O_Created,2016-02-02T13:38:31.867860,User_4,2016-02-02T13:38:30.107535,2016-02-02T13:38:30.107535,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T13:38:52.847813,User_19,2016-02-02T13:38:31.867860,2016-02-02T13:38:31.867860,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-02T13:39:10.678082,User_109,2016-02-02T13:38:52.847813,2016-02-02T13:38:52.847813,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T13:39:18.864537,User_85,2016-02-02T13:38:52.847813,2016-02-02T13:38:52.847813,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T13:39:18.964537,User_4,2016-02-02T13:39:18.864537,2016-02-02T13:39:18.864537,0.0,False
Case_11,W_Validate application & A_Validating,2016-02-02T13:40:38.004757,User_61,2016-02-02T13:39:10.678082,2016-02-02T13:39:10.678082,0.0,False
Case_11,O_Returned,2016-02-02T13:41:42.596398,User_100,2016-02-02T13:40:38.004757,2016-02-02T13:40:38.004757,0.0,False
Case_11,A_Incomplete,2016-02-02T13:41:45.824941,User_116,2016-02-02T13:41:42.596398,2016-02-02T13:41:42.596398,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T13:42:15.158785,User_74,2016-02-02T13:39:10.678082,2016-02-02T13:41:34.150315,143.472233,True
Case_11,O_Sent (mail and online),2016-02-02T13:42:15.258785,User_4,2016-02-02T13:42:15.158785,2016-02-02T13:42:15.158785,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-03T03:38:50.792336,User_60,2016-02-02T13:42:15.258785,2016-02-02T13:42:15.258785,0.0,False
Case_11,A_Cancelled & O_Cancelled,2016-02-03T08:47:00.200000,User_85,2016-02-03T03:38:50.792336,2016-02-03T08:47:00,18489.207664,True
Case_11,W_Call after offers & A_Complete,2016-02-04T16:38:20.025540,User_16,2016-02-02T13:39:18.964537,2016-02-02T13:39:18.964537,0.0,False
Case_11,W_Validate application & A_Validating,2016-02-04T16:39:08.987554,User_137,2016-02-04T16:38:20.025540,2016-02-04T16:38:20.025540,0.0,False
Case_11,O_Returned,2016-02-05T05:53:18.038648,User_30,2016-02-04T16:39:08.987554,2016-02-05T05:44:00,47091.012446,True
Case_11,A_Incomplete,2016-02-05T08:10:51.389930,User_13,2016-02-05T05:53:18.038648,2016-02-05T08:10:00,8201.961352,True
Case_11,A_Validating,2016-02-05T08:30:53.773959,User_37,2016-02-05T08:10:51.389930,2016-02-05T08:27:00,968.61007,True
Case_11,END,2016-02-05T08:30:53.773959,,,,0.0,False
Case_12,A_Create Application,2016-02-02T08:01:00.200000,User_26,2016-02-01T12:52:09.435286,2016-02-02T08:01:00.100000,68930.664714,True
Case_12,A_Submitted,2016-02-02T08:01:00.954444,User_1,2016-02-02T08:01:00.200000,2016-02-02T08:01:00.640683,0.440683,True
Case_12,W_Handle leads,2016-02-02T10:42:34.187245,User_138,2016-02-02T08:01:00.954444,2016-02-02T08:01:00.954444,0.0,False
Case_12,W_Complete application & A_Concept,2016-02-02T11:02:17.165830,User_46,2016-02-02T10:42:34.187245,2016-02-02T10:42:34.187245,0.0,False
Case_12,A_Accepted,2016-02-02T11:03:39.246315,User_13,2016-02-02T11:02:17.165830,2016-02-02T11:02:17.165830,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-03T08:11:17.879681,User_26,2016-02-02T11:03:39.246315,2016-02-03T08:11:00,76040.753685,True
Case_12,O_Sent (mail and online),2016-02-03T08:47:57.189094,User_85,2016-02-03T08:11:17.879681,2016-02-03T08:47:10.923604,2153.043923,True
Case_12,O_Create Offer & O_Created,2016-02-03T08:48:31.364667,User_27,2016-02-03T08:47:57.189094,2016-02-03T08:47:57.189094,0.0,False
Case_12,O_Sent (mail and online),2016-02-03T08:48:31.464667,User_20,2016-02-03T08:48:31.364667,2016-02-03T08:48:31.364667,0.0,False
Case_12,W_Call after offers & A_Complete,2016-02-03T08:51:22.780580,User_6,2016-02-03T08:47:57.189094,2016-02-03T08:47:57.189094,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-03T08:53:02.792420,User_103,2016-02-03T08:51:22.780580,2016-02-03T08:51:22.780580,0.0,False
Case_12,W_Call after offers & A_Complete,2016-02-03T08:53:10.552717,User_51,2016-02-03T08:48:31.464667,2016-02-03T08:48:31.464667,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-03T08:54:36.501251,User_16,2016-02-03T08:53:10.552717,2016-02-03T08:53:10.552717,0.0,False
Case_12,O_Returned,2016-02-03T08:58:56.862407,User_116,2016-02-03T08:53:02.792420,2016-02-03T08:53:02.792420,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-03T08:59:08.299979,User_116,2016-02-03T08:53:10.552717,2016-02-03T08:58:56.862407,346.30969,True
Case_12,O_Sent (mail and online),2016-02-03T08:59:08.399979,User_44,2016-02-03T08:59:08.299979,2016-02-03T08:59:08.299979,0.0,False
Case_12,O_Returned,2016-02-03T08:59:32.992392,User_27,2016-02-03T08:54:36.501251,2016-02-03T08:54:36.501251,0.0,False
Case_12,W_Call after offers & A_Complete,2016-02-03T08:59:49.815936,User_30,2016-02-03T08:59:08.399979,2016-02-03T08:59:08.399979,0.0,False
Case_12,A_Incomplete,2016-02-03T09:00:08.942719,User_95,2016-02-03T08:59:32.992392,2016-02-03T08:59:32.992392,0.0,False
Case_12,A_Incomplete,2016-02-03T09:00:39.067505,User_31,2016-02-03T08:58:56.862407,2016-02-03T08:58:56.862407,0.0,False
Case_12,A_Validating,2016-02-03T09:01:38.941341,User_109,2016-02-03T09:00:39.067505,2016-02-03T09:00:39.067505,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-03T09:21:18.103646,User_35,2016-02-03T08:48:31.464667,2016-02-03T09:20:27.918661,1916.453994,True
Case_12,O_Sent (mail and online),2016-02-03T09:28:22.584653,User_87,2016-02-03T09:21:18.103646,2016-02-03T09:28:14.435760,416.332114,True
Case_12,W_Call after offers & A_Complete,2016-02-03T09:30:51.133275,User_9,2016-02-03T09:28:22.584653,2016-02-03T09:28:22.584653,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-03T09:31:45.188073,User_79,2016-02-03T09:30:51.133275,2016-02-03T09:30:51.133275,0.0,False
Case_12,O_Returned,2016-02-03T09:35:21.585610,User_29,2016-02-03T09:31:45.188073,2016-02-03T09:31:45.188073,0.0,False
Case_12,A_Incomplete,2016-02-03T09:35:34.479816,User_75,2016-02-03T09:35:21.585610,2016-02-03T09:35:21.585610,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-03T11:28:16.787387,User_23,2016-02-03T08:59:49.815936,2016-02-03T08:59:49.815936,0.0,False
Case_12,O_Returned,2016-02-03T11:32:16.780049,User_100,2016-02-03T11:28:16.787387,2016-02-03T11:28:16.787387,0.0,False
Case_12,A_Incomplete,2016-02-03T11:34:06.719041,User_4,2016-02-03T11:32:16.780049,2016-02-03T11:32:16.780049,0.0,False
Case_12,END,2016-02-03T11:34:06.719041,,,,0.0,False
Case_13,A_Create Application,2016-02-01T13:00:27.035560,User_7,2016-02-01T13:00:26.403307,2016-02-01T13:00:26.403307,0.0,False
Case_13,A_Submitted,2016-02-01T19:43:50.862850,User_1,2016-02-01T13:00:27.035560,2016-02-01T19:43:50.515261,24203.479701,True
Case_13,W_Handle leads,2016-02-01T19:45:07.444762,User_36,2016-02-01T19:43:50.862850,2016-02-01T19:43:50.862850,0.0,False
Case_13,W_Complete application & A_Concept,2016-02-02T08:48:01.714719,User_89,2016-02-01T19:45:07.444762,2016-02-01T19:45:07.444762,0.0,False
Case_13,A_Accepted,2016-02-02T08:48:58.963466,User_2,2016-02-02T08:48:01.714719,2016-02-02T08:48:01.714719,0.0,False
Case_13,O_Create Offer & O_Created,2016-02-02T13:10:41.555513,User_24,2016-02-02T08:48:58.963466,2016-02-02T13:10:23.886988,15684.923522,True
Case_13,O_Sent (mail and online),2016-02-02T13:10:41.655513,User_29,2016-02-02T13:10:41.555513,2016-02-02T13:10:41.555513,0.0,False
Case_13,W_Call after offers & A_Complete,2016-02-02T13:18:21.162690,User_51,2016-02-02T13:10:41.655513,2016-02-02T13:10:41.655513,0.0,False
Case_13,A_Cancelled & O_Cancelled,2016-02-02T13:18:21.362690,User_10,2016-02-02T13:18:21.162690,2016-02-02T13:18:21.162690,0.0,False
Case_13,O_Create Offer & O_Created,2016-02-02T13:53:09.577795,User_7,2016-02-02T13:10:41.655513,2016-02-02T13:49:43.025609,2341.370096,True
Case_13,O_Sent (mail and online),2016-02-02T14:14:22.511714,User_31,2016-02-02T13:53:09.577795,2016-02-02T14:14:21.945716,1272.367921,True
Case_13,O_Create Offer & O_Created,2016-02-02T14:14:39.637560,User_14,2016-02-02T14:14:22.511714,2016-02-02T14:14:22.511714,0.0,False
Case_13,W_Call after offers & A_Complete,2016-02-02T14:18:18.641553,User_94,2016-02-02T14:14:22.511714,2016-02-02T14:14:22.511714,0.0,False
Case_13,W_Validate application & A_Validating,2016-02-02T14:18:21.732737,User_116,2016-02-02T14:18:18.641553,2016-02-02T14:18:18.641553,0.0,False
Case_13,O_Returned,2016-02-02T14:33:03.292469,User_2,2016-02-02T14:18:21.732737,2016-02-02T14:18:21.732737,0.0,False
Case_13,A_Incomplete,2016-02-02T14:35:24.158899,User_9,2016-02-02T14:33:03.292469,2016-02-02T14:33:03.292469,0.0,False
Case_13,A_Validating,2016-02-02T14:36:32.699334,User_24,2016-02-02T14:35:24.158899,2016-02-02T14:35:24.158899,0.0,False
