case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.109797,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T08:22:00.455839,User_1,2016-02-01T10:00:00.109797,2016-02-02T08:22:00.192295,80520.082498,True
Case_1,W_Handle leads,2016-02-02T08:22:31.390476,User_78,2016-02-02T08:22:00.455839,2016-02-02T08:22:00.455839,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-06T20:52:48.613185,User_1,2016-02-02T08:22:31.390476,2016-02-02T08:22:31.390476,0.0,False
Case_1,A_Accepted,2016-02-07T08:20:53.807739,User_27,2016-02-06T20:52:48.613185,2016-02-07T08:19:00,41171.386815,True
Case_1,O_Create Offer & O_Created,2016-02-07T08:58:17.847558,User_34,2016-02-07T08:20:53.807739,2016-02-07T08:58:00,2226.192261,True
Case_1,O_Sent (mail and online),2016-02-07T08:58:20.241916,User_5,2016-02-07T08:58:17.847558,2016-02-07T08:58:17.847558,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-07T08:59:32.657964,User_76,2016-02-07T08:58:20.241916,2016-02-07T08:58:20.241916,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-07T08:59:38.335269,User_6,2016-02-07T08:59:32.657964,2016-02-07T08:59:32.657964,0.0,False
Case_1,O_Sent (mail and online),2016-02-07T09:00:46.060476,User_68,2016-02-07T08:59:38.335269,2016-02-07T08:59:38.335269,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-07T09:01:04.150385,User_7,2016-02-07T09:00:46.060476,2016-02-07T09:00:46.060476,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-07T09:09:20.859687,User_77,2016-02-07T09:00:46.060476,2016-02-07T09:00:46.060476,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-07T09:09:21.059687,User_75,2016-02-07T09:09:20.859687,2016-02-07T09:09:20.859687,0.0,False
Case_1,O_Sent (mail and online),2016-02-07T12:35:00.100000,User_70,2016-02-07T09:01:04.150385,2016-02-07T12:35:00,12835.849615,True
Case_1,W_Call after offers & A_Complete,2016-02-07T12:35:48.059477,User_6,2016-02-07T12:35:00.100000,2016-02-07T12:35:00.100000,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-07T13:08:11.512453,User_68,2016-02-07T12:35:48.059477,2016-02-07T12:35:48.059477,0.0,False
Case_1,O_Returned,2016-02-07T13:10:44.267244,User_99,2016-02-07T13:08:11.512453,2016-02-07T13:08:11.512453,0.0,False
Case_1,A_Incomplete,2016-02-07T13:12:07.427796,User_85,2016-02-07T13:10:44.267244,2016-02-07T13:10:44.267244,0.0,False
Case_1,A_Validating,2016-02-07T13:14:06.117526,User_87,2016-02-07T13:12:07.427796,2016-02-07T13:12:07.427796,0.0,False
Case_1,A_Incomplete,2016-02-07T13:14:37.715291,User_9,2016-02-07T13:14:06.117526,2016-02-07T13:14:06.117526,0.0,False
Case_1,A_Validating,2016-02-08T07:08:09.126113,User_90,2016-02-07T13:14:37.715291,2016-02-08T07:08:00,64402.284709,True
Case_1,END,2016-02-08T07:08:09.126113,,,,0.0,False
Case_10,A_Create Application,2016-02-01T13:46:47.839942,User_12,2016-02-01T13:46:47.739942,2016-02-01T13:46:47.739942,0.0,False
Case_10,A_Submitted,2016-02-02T08:22:03.253041,User_1,2016-02-01T13:46:47.839942,2016-02-02T08:22:02.963044,66915.123102,True
Case_10,W_Complete application & A_Concept,2016-02-02T08:22:03.453041,User_14,2016-02-02T08:22:03.253041,2016-02-02T08:22:03.253041,0.0,False
Case_10,A_Accepted,2016-02-02T08:32:38.719979,User_87,2016-02-02T08:22:03.453041,2016-02-02T08:22:03.453041,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T17:08:36.372832,User_8,2016-02-02T08:32:38.719979,2016-02-02T17:08:31.117975,30952.397996,True
Case_10,O_Sent (mail and online),2016-02-02T17:21:27.696059,User_108,2016-02-02T17:08:36.372832,2016-02-02T17:08:36.372832,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-02T17:30:10.920581,User_21,2016-02-02T17:21:27.696059,2016-02-02T17:21:27.696059,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-02T17:30:48.333836,User_108,2016-02-02T17:30:10.920581,2016-02-02T17:30:10.920581,0.0,False
Case_10,O_Returned,2016-02-03T07:56:32.118122,User_100,2016-02-02T17:30:48.333836,2016-02-03T07:51:00.100000,51611.766164,True
Case_10,A_Incomplete,2016-02-03T07:56:40.232695,User_25,2016-02-03T07:56:32.118122,2016-02-03T07:56:32.118122,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T08:01:25.052748,User_117,2016-02-02T17:21:27.696059,2016-02-03T08:00:00,52712.303941,True
Case_10,O_Sent (mail and online),2016-02-03T08:49:00.591077,User_35,2016-02-03T08:01:25.052748,2016-02-03T08:49:00,2854.947252,True
Case_10,W_Call after offers & A_Complete,2016-02-03T08:59:51.462859,User_28,2016-02-03T08:49:00.591077,2016-02-03T08:49:00.591077,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-03T09:00:05.325395,User_83,2016-02-03T08:59:51.462859,2016-02-03T08:59:51.462859,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T09:00:40.930332,User_4,2016-02-03T08:49:00.591077,2016-02-03T08:52:07.910597,187.31952,True
Case_10,O_Sent (mail and online),2016-02-03T09:00:43.074903,User_20,2016-02-03T09:00:40.930332,2016-02-03T09:00:40.930332,0.0,False
Case_10,O_Returned,2016-02-03T09:01:38.926651,User_31,2016-02-03T09:00:05.325395,2016-02-03T09:00:05.325395,0.0,False
Case_10,A_Incomplete,2016-02-03T09:03:33.730723,User_26,2016-02-03T09:01:38.926651,2016-02-03T09:01:38.926651,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-03T09:06:21.403399,User_4,2016-02-03T09:00:43.074903,2016-02-03T09:00:43.074903,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-03T09:08:03.035079,User_99,2016-02-03T09:06:21.403399,2016-02-03T09:06:21.403399,0.0,False
Case_10,O_Returned,2016-02-03T09:09:06.610648,User_30,2016-02-03T09:08:03.035079,2016-02-03T09:08:03.035079,0.0,False
Case_10,A_Incomplete,2016-02-03T09:10:12.795983,User_44,2016-02-03T09:09:06.610648,2016-02-03T09:09:06.610648,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T09:24:16.569432,User_119,2016-02-02T17:30:10.920581,2016-02-03T09:23:19.012095,57188.091514,True
Case_10,O_Sent (mail and online),2016-02-03T09:24:16.669432,User_99,2016-02-03T09:24:16.569432,2016-02-03T09:24:16.569432,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T09:25:31.715715,User_119,2016-02-03T08:59:51.462859,2016-02-03T09:24:40.138249,1488.67539,True
Case_10,O_Sent (mail and online),2016-02-03T09:26:44.996708,User_108,2016-02-03T09:25:31.715715,2016-02-03T09:26:32.980888,61.265173,True
Case_10,W_Call after offers & A_Complete,2016-02-03T09:29:18.002462,User_58,2016-02-03T09:26:44.996708,2016-02-03T09:26:44.996708,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-02-03T09:29:18.202462,User_3,2016-02-03T09:29:18.002462,2016-02-03T09:29:18.002462,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-03T09:31:04.942310,User_68,2016-02-03T09:24:16.669432,2016-02-03T09:24:16.669432,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-02-03T09:31:10.471032,User_41,2016-02-03T09:31:04.942310,2016-02-03T09:31:04.942310,0.0,False
Case_10,END,2016-02-03T09:31:10.471032,,,,0.0,False
Case_100,A_Create Application,2016-02-02T17:08:31.117975,User_8,2016-02-02T17:08:31.017975,2016-02-02T17:08:31.017975,0.0,False
Case_100,A_Submitted,2016-02-02T17:08:31.563450,User_1,2016-02-02T17:08:31.117975,2016-02-02T17:08:31.117975,0.0,False
Case_100,W_Handle leads,2016-02-02T17:08:31.663450,User_137,2016-02-02T17:08:31.563450,2016-02-02T17:08:31.563450,0.0,False
Case_100,W_Complete application & A_Concept,2016-02-03T13:02:26.534003,User_49,2016-02-02T17:08:31.663450,2016-02-02T17:08:31.663450,0.0,False
Case_100,A_Accepted,2016-02-03T13:03:20.559544,User_7,2016-02-03T13:02:26.534003,2016-02-03T13:02:26.534003,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-03T13:05:36.093230,User_35,2016-02-03T13:03:20.559544,2016-02-03T13:03:20.559544,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T13:05:36.193230,User_36,2016-02-03T13:05:36.093230,2016-02-03T13:05:36.093230,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-03T13:08:38.960138,User_37,2016-02-03T13:05:36.193230,2016-02-03T13:05:36.193230,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T13:08:42.152873,User_38,2016-02-03T13:08:38.960138,2016-02-03T13:08:38.960138,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-03T13:09:44.678359,User_4,2016-02-03T13:08:42.152873,2016-02-03T13:08:42.152873,0.0,False
Case_100,O_Sent (mail and online),2016-02-03T13:09:45.159224,User_41,2016-02-03T13:09:44.678359,2016-02-03T13:09:44.678359,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-03T13:10:06.632613,User_140,2016-02-03T13:08:42.152873,2016-02-03T13:08:42.152873,0.0,False
Case_100,A_Cancelled & O_Cancelled,2016-02-03T13:10:06.832613,User_43,2016-02-03T13:10:06.632613,2016-02-03T13:10:06.632613,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-03T13:11:45.149761,User_41,2016-02-03T13:09:45.159224,2016-02-03T13:09:45.159224,0.0,False
Case_100,W_Validate application & A_Validating,2016-02-04T17:08:27.836606,User_126,2016-02-03T13:11:45.149761,2016-02-03T13:11:45.149761,0.0,False
Case_100,O_Returned,2016-02-05T07:45:52.899723,User_117,2016-02-04T17:08:27.836606,2016-02-05T07:38:00,52172.163394,True
Case_100,END,2016-02-05T07:45:52.899723,,,,0.0,False
Case_11,A_Create Application,2016-02-01T13:57:15.829867,User_13,2016-02-01T13:57:15.729867,2016-02-01T13:57:15.729867,0.0,False
Case_11,A_Submitted,2016-02-02T08:22:03.487313,User_1,2016-02-01T13:57:15.829867,2016-02-02T08:22:03.253041,66287.423174,True
Case_11,W_Handle leads,2016-02-02T08:22:04.730162,User_149,2016-02-02T08:22:03.487313,2016-02-02T08:22:03.487313,0.0,False
Case_11,W_Complete application & A_Concept,2016-02-02T08:26:50.186298,User_4,2016-02-02T08:22:04.730162,2016-02-02T08:22:04.730162,0.0,False
Case_11,A_Accepted,2016-02-02T08:31:00.275189,User_115,2016-02-02T08:26:50.186298,2016-02-02T08:26:50.186298,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T16:34:05.100727,User_71,2016-02-02T08:31:00.275189,2016-02-02T16:33:28.956871,28948.681682,True
Case_11,O_Sent (mail and online),2016-02-02T16:39:44.578469,User_44,2016-02-02T16:34:05.100727,2016-02-02T16:34:05.100727,0.0,False
Case_11,O_Create Offer & O_Created,2016-02-02T16:39:48.281721,User_71,2016-02-02T16:39:44.578469,2016-02-02T16:39:44.578469,0.0,False
Case_11,W_Call after offers & A_Complete,2016-02-02T16:39:59.280179,User_15,2016-02-02T16:39:44.578469,2016-02-02T16:39:44.578469,0.0,False
Case_11,O_Sent (mail and online),2016-02-02T16:46:11.148212,User_74,2016-02-02T16:39:48.281721,2016-02-02T16:46:10.994444,382.712723,True
Case_11,A_Cancelled & O_Cancelled,2016-02-02T17:11:58.038040,User_75,2016-02-02T16:39:59.280179,2016-02-02T17:11:57.838040,1918.557861,True
Case_11,O_Create Offer & O_Created,2016-02-03T07:30:17.055772,User_99,2016-02-02T16:46:11.148212,2016-02-03T07:30:00,53028.851788,True
Case_11,O_Sent (mail and online),2016-02-03T08:03:15.190356,User_112,2016-02-03T07:30:17.055772,2016-02-03T08:03:14.982308,1977.926536,True
Case_11,W_Call after offers & A_Complete,2016-02-03T08:06:06.171119,User_17,2016-02-03T08:03:15.190356,2016-02-03T08:03:15.190356,0.0,False
Case_11,A_Cancelled & O_Cancelled,2016-02-03T08:14:00.300000,User_6,2016-02-03T08:06:06.171119,2016-02-03T08:14:00.100000,473.928881,True
Case_11,END,2016-02-03T08:14:00.300000,,,,0.0,False
Case_12,A_Create Application,2016-02-01T14:30:26.275829,User_14,2016-02-01T14:30:26.175829,2016-02-01T14:30:26.175829,0.0,False
Case_12,A_Submitted,2016-02-02T08:22:03.631956,User_1,2016-02-01T14:30:26.275829,2016-02-02T08:22:03.487313,64297.211484,True
Case_12,W_Handle leads,2016-02-02T08:22:05.229410,User_126,2016-02-02T08:22:03.631956,2016-02-02T08:22:03.631956,0.0,False
Case_12,W_Complete application & A_Concept,2016-02-03T15:26:22.393990,User_132,2016-02-02T08:22:05.229410,2016-02-02T08:22:05.229410,0.0,False
Case_12,A_Accepted,2016-02-03T15:26:47.296243,User_12,2016-02-03T15:26:22.393990,2016-02-03T15:26:22.393990,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-03T15:26:53.577822,User_9,2016-02-03T15:26:47.296243,2016-02-03T15:26:47.296243,0.0,False
Case_12,O_Sent (mail and online),2016-02-04T07:16:53.656678,User_90,2016-02-03T15:26:53.577822,2016-02-04T07:13:00,56766.422178,True
Case_12,W_Call after offers & A_Complete,2016-02-04T07:18:47.895633,User_42,2016-02-04T07:16:53.656678,2016-02-04T07:16:53.656678,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-04T08:10:32.765274,User_17,2016-02-04T07:16:53.656678,2016-02-04T08:10:00,3186.343322,True
Case_12,O_Create Offer & O_Created,2016-02-04T08:31:46.159713,User_18,2016-02-04T07:18:47.895633,2016-02-04T08:21:00,3732.104367,True
Case_12,O_Sent (mail and online),2016-02-04T08:31:48.136987,User_3,2016-02-04T08:31:46.159713,2016-02-04T08:31:46.159713,0.0,False
Case_12,W_Call after offers & A_Complete,2016-02-04T08:33:44.437993,User_45,2016-02-04T08:31:48.136987,2016-02-04T08:31:48.136987,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-04T08:35:09.689913,User_128,2016-02-04T08:33:44.437993,2016-02-04T08:33:44.437993,0.0,False
Case_12,O_Returned,2016-02-04T08:40:00.419990,User_30,2016-02-04T08:35:09.689913,2016-02-04T08:35:09.689913,0.0,False
Case_12,O_Sent (mail and online),2016-02-04T08:59:11.983636,User_26,2016-02-04T08:10:32.765274,2016-02-04T08:59:05.023449,2912.258175,True
Case_12,W_Call after offers & A_Complete,2016-02-04T09:03:32.251491,User_100,2016-02-04T08:59:11.983636,2016-02-04T08:59:11.983636,0.0,False
Case_12,A_Cancelled & O_Cancelled,2016-02-04T09:03:32.479773,User_112,2016-02-04T09:03:32.251491,2016-02-04T09:03:32.251491,0.0,False
Case_12,A_Incomplete,2016-02-04T09:23:24.795817,User_38,2016-02-04T08:40:00.419990,2016-02-04T09:22:51.357161,2570.937171,True
Case_12,A_Validating,2016-02-04T09:24:04.230942,User_26,2016-02-04T09:23:24.795817,2016-02-04T09:23:24.795817,0.0,False
Case_12,A_Incomplete,2016-02-04T09:24:21.397210,User_27,2016-02-04T09:24:04.230942,2016-02-04T09:24:04.230942,0.0,False
Case_12,A_Validating,2016-02-04T09:24:42.612452,User_28,2016-02-04T09:24:21.397210,2016-02-04T09:24:21.397210,0.0,False
Case_12,A_Incomplete,2016-02-04T10:08:21.769926,User_29,2016-02-04T09:24:42.612452,2016-02-04T10:07:26.735869,2564.123417,True
Case_12,A_Validating,2016-02-04T10:08:27.608234,User_9,2016-02-04T10:08:21.769926,2016-02-04T10:08:21.769926,0.0,False
Case_12,A_Incomplete,2016-02-04T10:08:45.209282,User_90,2016-02-04T10:08:27.608234,2016-02-04T10:08:27.608234,0.0,False
Case_12,A_Validating,2016-02-04T10:09:37.992105,User_95,2016-02-04T10:08:45.209282,2016-02-04T10:08:45.209282,0.0,False
Case_12,END,2016-02-04T10:09:37.992105,,,,0.0,False
Case_13,A_Create Application,2016-02-01T14:31:21.701426,User_15,2016-02-01T14:31:21.601426,2016-02-01T14:31:21.601426,0.0,False
Case_13,A_Submitted,2016-02-02T08:22:03.987269,User_1,2016-02-01T14:31:21.701426,2016-02-02T08:22:03.631956,64241.93053,True
Case_13,W_Handle leads,2016-02-02T08:22:04.087269,User_5,2016-02-02T08:22:03.987269,2016-02-02T08:22:03.987269,0.0,False
Case_13,W_Complete application & A_Concept,2016-02-10T22:40:02.225227,User_85,2016-02-02T08:22:04.087269,2016-02-02T08:22:04.087269,0.0,False
Case_13,A_Accepted,2016-02-11T08:11:49.752935,User_21,2016-02-10T22:40:02.225227,2016-02-11T08:08:00,34077.774773,True
Case_13,O_Create Offer & O_Created,2016-02-11T08:12:18.615322,User_90,2016-02-11T08:11:49.752935,2016-02-11T08:11:49.752935,0.0,False
Case_13,O_Sent (mail and online),2016-02-11T08:12:18.733666,User_95,2016-02-11T08:12:18.615322,2016-02-11T08:12:18.615322,0.0,False
Case_13,W_Call after offers & A_Complete,2016-02-11T08:20:40.593574,User_44,2016-02-11T08:12:18.733666,2016-02-11T08:12:18.733666,0.0,False
Case_13,O_Create Offer & O_Created,2016-02-11T08:29:03.261555,User_99,2016-02-11T08:20:40.593574,2016-02-11T08:28:00,439.406426,True
Case_13,O_Sent (mail and online),2016-02-11T08:29:03.468034,User_1,2016-02-11T08:29:03.261555,2016-02-11T08:29:03.261555,0.0,False
Case_13,O_Create Offer & O_Created,2016-02-11T08:46:02.544581,User_10,2016-02-11T08:29:03.468034,2016-02-11T08:46:00,1016.531966,True
Case_13,O_Sent (mail and online),2016-02-11T08:54:01.346834,User_100,2016-02-11T08:46:02.544581,2016-02-11T08:54:00,477.455419,True
Case_13,W_Call after offers & A_Complete,2016-02-11T08:55:32.246208,User_52,2016-02-11T08:54:01.346834,2016-02-11T08:54:01.346834,0.0,False
Case_13,A_Cancelled & O_Cancelled,2016-02-11T08:55:33.461383,User_101,2016-02-11T08:55:32.246208,2016-02-11T08:55:32.246208,0.0,False
Case_13,W_Call after offers & A_Complete,2016-02-11T09:44:34.424579,User_61,2016-02-11T08:29:03.468034,2016-02-11T08:29:03.468034,0.0,False
Case_13,A_Cancelled & O_Cancelled,2016-02-11T09:44:34.624579,User_112,2016-02-11T09:44:34.424579,2016-02-11T09:44:34.424579,0.0,False
Case_13,END,2016-02-11T09:44:34.624579,,,,0.0,False
Case_14,A_Create Application,2016-02-01T14:54:46.225691,User_17,2016-02-01T14:54:46.125691,2016-02-01T14:54:46.125691,0.0,False
Case_14,A_Submitted,2016-02-02T08:22:04.703928,User_1,2016-02-01T14:54:46.225691,2016-02-02T08:22:03.987269,62837.761578,True
Case_14,W_Handle leads,2016-02-02T08:25:19.899895,User_145,2016-02-02T08:22:04.703928,2016-02-02T08:22:04.703928,0.0,False
Case_14,W_Complete application & A_Concept,2016-02-04T07:42:17.426933,User_42,2016-02-02T08:25:19.899895,2016-02-02T08:25:19.899895,0.0,False
Case_14,A_Accepted,2016-02-04T08:45:55.983084,User_47,2016-02-04T07:42:17.426933,2016-02-04T08:45:00,3762.573067,True
Case_14,O_Create Offer & O_Created,2016-02-04T08:46:46.446393,User_47,2016-02-04T08:45:55.983084,2016-02-04T08:45:55.983084,0.0,False
Case_14,O_Sent (mail and online),2016-02-04T08:46:46.546393,User_49,2016-02-04T08:46:46.446393,2016-02-04T08:46:46.446393,0.0,False
Case_14,O_Create Offer & O_Created,2016-02-04T08:47:31.202881,User_5,2016-02-04T08:46:46.546393,2016-02-04T08:46:46.546393,0.0,False
Case_14,O_Sent (mail and online),2016-02-04T08:47:31.430569,User_6,2016-02-04T08:47:31.202881,2016-02-04T08:47:31.202881,0.0,False
