case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T08:50:00.275673,User_1,2016-02-01T10:00:00.100000,2016-02-02T08:50:00.100000,82200.0,True
Case_1,W_Handle leads,2016-02-02T08:50:00.375673,User_8,2016-02-02T08:50:00.275673,2016-02-02T08:50:00.275673,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-05T20:45:03.169391,User_4,2016-02-02T08:50:00.375673,2016-02-02T08:50:00.375673,0.0,False
Case_1,A_Accepted,2016-02-06T08:52:02.476522,User_19,2016-02-05T20:45:03.169391,2016-02-06T08:47:00,43316.830609,True
Case_1,O_Create Offer & O_Created,2016-02-06T08:52:31.939680,User_75,2016-02-06T08:52:02.476522,2016-02-06T08:52:02.476522,0.0,False
Case_1,O_Sent (mail and online),2016-02-06T08:52:32.039680,User_38,2016-02-06T08:52:31.939680,2016-02-06T08:52:31.939680,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-06T08:54:44.651599,User_85,2016-02-06T08:52:32.039680,2016-02-06T08:52:32.039680,0.0,False
Case_1,O_Sent (mail and online),2016-02-06T09:05:00.100000,User_41,2016-02-06T08:54:44.651599,2016-02-06T09:05:00,615.348401,True
Case_1,W_Call after offers & A_Complete,2016-02-06T09:07:28.391377,User_12,2016-02-06T09:05:00.100000,2016-02-06T09:05:00.100000,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-06T09:07:36.914613,User_9,2016-02-06T09:07:28.391377,2016-02-06T09:07:28.391377,0.0,False
Case_1,O_Sent (mail and online),2016-02-06T09:07:37.014613,User_44,2016-02-06T09:07:36.914613,2016-02-06T09:07:36.914613,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-06T09:31:40.760740,User_15,2016-02-06T09:07:37.014613,2016-02-06T09:07:37.014613,0.0,False
