case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-14T16:02:11.459306,User_1,2016-02-01T10:00:00.100000,2016-02-14T16:02:10.852701,1144930.752701,True
Case_1,W_Complete application & A_Concept,2016-02-14T16:17:20.303278,User_17,2016-02-14T16:02:11.459306,2016-02-14T16:02:11.459306,0.0,False
Case_1,A_Accepted,2016-02-15T15:41:01.043454,User_69,2016-02-14T16:17:20.303278,2016-02-15T15:40:03.852791,84163.549513,True
Case_1,O_Create Offer & O_Created,2016-02-15T15:41:22.876027,User_137,2016-02-15T15:41:01.043454,2016-02-15T15:41:01.043454,0.0,False
Case_1,O_Sent (mail and online),2016-02-15T18:54:05.775557,User_137,2016-02-15T15:41:22.876027,2016-02-15T18:54:03.760422,11560.884395,True
Case_1,O_Create Offer & O_Created,2016-02-16T06:06:13.549549,User_123,2016-02-15T18:54:05.775557,2016-02-16T06:01:46.315431,40060.539874,True
Case_1,O_Sent (mail and online),2016-02-21T17:53:36.379913,User_146,2016-02-16T06:06:13.549549,2016-02-21T17:53:36.279913,474442.730364,True
Case_1,W_Call after offers & A_Complete,2016-02-21T18:57:30.868498,User_22,2016-02-15T18:54:05.775557,2016-02-21T18:29:11.973334,516906.197777,True
Case_1,O_Create Offer & O_Created,2016-02-22T19:50:51.699397,User_139,2016-02-21T17:53:36.379913,2016-02-22T19:48:20.940086,93284.560173,True
Case_1,O_Create Offer & O_Created,2016-02-22T21:38:29.330136,User_130,2016-02-21T18:57:30.868498,2016-02-22T21:36:37.496498,95946.628,True
Case_1,W_Validate application & A_Validating,2016-02-23T06:45:06.240387,User_127,2016-02-21T18:57:30.868498,2016-02-23T06:34:10.033995,128199.165497,True
Case_1,O_Sent (mail and online),2016-02-23T14:04:53.081009,User_113,2016-02-22T19:50:51.699397,2016-02-23T14:04:52.981009,65641.281612,True
Case_1,O_Sent (mail and online),2016-02-24T09:40:47.713097,User_113,2016-02-22T21:38:29.330136,2016-02-24T09:40:47.613097,129738.282961,True
Case_1,O_Returned,2016-03-03T10:38:09.819206,User_53,2016-02-23T06:45:06.240387,2016-03-03T10:35:31.441503,791425.201116,True
Case_1,W_Call after offers & A_Complete,2016-03-03T17:07:17.991433,User_98,2016-02-23T14:04:53.081009,2016-03-03T17:07:11.360338,788538.279329,True
Case_1,W_Call after offers & A_Complete,2016-03-08T23:54:53.258424,User_53,2016-02-24T09:40:47.713097,2016-03-08T23:53:47.182436,1174379.469339,True
