case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100826,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T14:40:29.683002,User_1,2016-02-01T10:00:00.100826,2016-02-02T14:40:29.240818,103229.139992,True
Case_1,W_Handle leads,2016-02-02T15:05:18.832305,User_17,2016-02-02T14:40:29.683002,2016-02-02T14:40:29.683002,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-02T17:13:26.936222,User_17,2016-02-02T15:05:18.832305,2016-02-02T15:05:18.832305,0.0,False
Case_1,A_Accepted,2016-02-02T17:14:50.608466,User_105,2016-02-02T17:13:26.936222,2016-02-02T17:13:26.936222,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T17:14:57.095098,User_105,2016-02-02T17:14:50.608466,2016-02-02T17:14:50.608466,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T17:14:57.492622,User_15,2016-02-02T17:14:57.095098,2016-02-02T17:14:57.095098,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T17:16:34.271394,User_85,2016-02-02T17:14:57.492622,2016-02-02T17:14:57.492622,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T17:17:19.360622,User_114,2016-02-02T17:16:34.271394,2016-02-02T17:16:34.271394,0.0,False
Case_1,O_Returned,2016-02-02T17:18:52.483176,User_122,2016-02-02T17:17:19.360622,2016-02-02T17:17:19.360622,0.0,False
Case_1,A_Incomplete,2016-02-02T17:21:40.648469,User_122,2016-02-02T17:18:52.483176,2016-02-02T17:18:52.483176,0.0,False
Case_1,END,2016-02-02T17:21:40.648469,,,,0.0,False
Case_10,A_Create Application,2016-02-01T11:23:03.327502,User_1,2016-02-01T11:23:03.227502,2016-02-01T11:23:03.227502,0.0,False
Case_10,A_Submitted,2016-02-02T14:40:31.940235,User_1,2016-02-01T11:23:03.327502,2016-02-02T14:40:31.643721,98248.316219,True
Case_10,W_Handle leads,2016-02-02T14:40:32.152230,User_15,2016-02-02T14:40:31.940235,2016-02-02T14:40:31.940235,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-02T17:38:08.925718,User_86,2016-02-02T14:40:32.152230,2016-02-02T14:40:32.152230,0.0,False
Case_10,A_Accepted,2016-02-02T17:39:59.148884,User_104,2016-02-02T17:38:08.925718,2016-02-02T17:38:08.925718,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T17:40:19.822134,User_104,2016-02-02T17:39:59.148884,2016-02-02T17:39:59.148884,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T17:40:19.922134,User_21,2016-02-02T17:40:19.822134,2016-02-02T17:40:19.822134,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T17:41:28.171590,User_108,2016-02-02T17:40:19.922134,2016-02-02T17:40:19.922134,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T17:41:28.271590,User_108,2016-02-02T17:41:28.171590,2016-02-02T17:41:28.171590,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-07T15:43:17.976030,User_74,2016-02-02T17:41:28.271590,2016-02-02T17:41:28.271590,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-07T15:43:20.659371,User_103,2016-02-07T15:43:17.976030,2016-02-07T15:43:17.976030,0.0,False
Case_10,O_Sent (mail and online),2016-02-07T15:43:20.759371,User_89,2016-02-07T15:43:20.659371,2016-02-07T15:43:20.659371,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-07T15:45:42.451361,User_34,2016-02-07T15:43:17.976030,2016-02-07T15:43:17.976030,0.0,False
Case_10,O_Returned,2016-02-07T15:51:01.555659,User_106,2016-02-07T15:45:42.451361,2016-02-07T15:45:42.451361,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-07T15:55:53.190716,User_89,2016-02-07T15:43:20.759371,2016-02-07T15:43:20.759371,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-02-07T15:55:53.390716,User_107,2016-02-07T15:55:53.190716,2016-02-07T15:55:53.190716,0.0,False
