case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_25,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-01T10:00:00.200000,User_1,2016-02-01T10:00:00.100000,2016-02-01T10:00:00.100000,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-01T14:49:20.977771,User_1,2016-02-01T10:00:00.200000,2016-02-01T10:00:00.200000,0.0,False
Case_1,A_Accepted,2016-02-01T14:52:50.735118,User_4,2016-02-01T14:49:20.977771,2016-02-01T14:49:20.977771,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-01T14:55:35.164741,User_2,2016-02-01T14:52:50.735118,2016-02-01T14:52:50.735118,0.0,False
Case_1,O_Sent (mail and online),2016-02-01T14:55:45.986173,User_49,2016-02-01T14:55:35.164741,2016-02-01T14:55:35.164741,0.0,False
Case_1,W_Call after offers & A_Complete,2016-04-01T14:57:47.915329,User_27,2016-02-01T14:55:45.986173,2016-02-01T14:55:45.986173,0.0,False
Case_1,W_Validate application & A_Validating,2016-04-01T14:58:25.912869,User_61,2016-04-01T14:57:47.915329,2016-04-01T14:57:47.915329,0.0,False
Case_1,A_Validating,2016-04-01T14:58:39.935011,User_44,2016-04-01T14:58:25.912869,2016-04-01T14:58:25.912869,0.0,False
Case_1,O_Returned,2016-04-01T15:08:52.611087,User_75,2016-04-01T14:58:39.935011,2016-04-01T14:58:39.935011,0.0,False
Case_1,END,2016-04-01T15:09:52.611087,User_29,2016-04-01T15:08:52.611087,2016-04-01T15:08:52.611087,0.0,False
Case_10,A_Create Application,2016-02-01T11:28:25.523851,User_85,2016-02-01T11:28:25.423851,2016-02-01T11:28:25.423851,0.0,False
Case_10,A_Submitted,2016-02-01T11:28:25.890214,User_1,2016-02-01T11:28:25.523851,2016-02-01T11:28:25.523851,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-01T11:40:26.846017,User_36,2016-02-01T11:28:25.890214,2016-02-01T11:28:25.890214,0.0,False
Case_10,A_Accepted,2016-02-01T11:41:18.748858,User_4,2016-02-01T11:40:26.846017,2016-02-01T11:40:26.846017,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-01T11:41:45.730631,User_41,2016-02-01T11:41:18.748858,2016-02-01T11:41:18.748858,0.0,False
Case_10,O_Sent (mail and online),2016-02-01T11:41:45.830631,User_8,2016-02-01T11:41:45.730631,2016-02-01T11:41:45.730631,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-01T11:42:02.641021,User_99,2016-02-01T11:41:45.830631,2016-02-01T11:41:45.830631,0.0,False
Case_10,O_Sent (mail and online),2016-02-01T11:42:03.107944,User_87,2016-02-01T11:42:02.641021,2016-02-01T11:42:02.641021,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-01T11:44:29.720704,User_28,2016-02-01T11:42:03.107944,2016-02-01T11:42:03.107944,0.0,False
Case_10,O_Sent (mail and online),2016-02-01T11:44:29.820704,User_28,2016-02-01T11:44:29.720704,2016-02-01T11:44:29.720704,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-01T11:46:10.433043,User_116,2016-02-01T11:44:29.820704,2016-02-01T11:44:29.820704,0.0,False
Case_10,O_Sent (mail and online),2016-02-01T11:47:35.338823,User_21,2016-02-01T11:46:10.433043,2016-02-01T11:46:10.433043,0.0,False
Case_10,W_Call after offers & A_Complete,2016-04-01T11:53:33.116502,User_18,2016-02-01T11:47:35.338823,2016-02-01T11:47:35.338823,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-04-01T11:53:37.341356,User_95,2016-04-01T11:53:33.116502,2016-04-01T11:53:33.116502,0.0,False
Case_10,END,2016-04-01T11:54:37.341356,User_26,2016-04-01T11:53:37.341356,2016-04-01T11:53:37.341356,0.0,False
Case_100,A_Create Application,2016-02-02T13:29:09.974833,User_8,2016-02-02T13:29:09.839552,2016-02-02T13:29:09.839552,0.0,False
Case_100,W_Complete application & A_Concept,2016-02-08T03:15:03.328277,User_49,2016-02-02T13:29:09.974833,2016-02-02T13:29:09.974833,0.0,False
Case_100,A_Accepted,2016-02-08T09:00:16.635467,User_43,2016-02-08T03:15:03.328277,2016-02-08T08:59:00,20636.671723,True
Case_100,O_Create Offer & O_Created,2016-02-08T09:00:45.972054,User_3,2016-02-08T09:00:16.635467,2016-02-08T09:00:16.635467,0.0,False
Case_100,O_Sent (mail and online),2016-02-08T09:00:46.361982,User_17,2016-02-08T09:00:45.972054,2016-02-08T09:00:45.972054,0.0,False
Case_100,W_Call after offers & A_Complete,2016-02-08T09:55:22.243307,User_35,2016-02-08T09:00:46.361982,2016-02-08T09:53:00,3133.638018,True
Case_100,A_Cancelled & O_Cancelled,2016-02-08T09:55:22.443307,User_109,2016-02-08T09:55:22.243307,2016-02-08T09:55:22.243307,0.0,False
Case_100,END,2016-02-08T09:56:22.443307,User_44,2016-02-08T09:55:22.443307,2016-02-08T09:55:22.443307,0.0,False
Case_11,A_Create Application,2016-02-01T11:55:46.948802,User_11,2016-02-01T11:55:46.848802,2016-02-01T11:55:46.848802,0.0,False
Case_11,A_Submitted,2016-02-01T11:55:47.410183,User_1,2016-02-01T11:55:46.948802,2016-02-01T11:55:46.948802,0.0,False
Case_11,W_Handle leads,2016-02-02T09:35:45.449330,User_26,2016-02-01T11:55:47.410183,2016-02-02T07:56:00,72012.589817,True
Case_11,W_Complete application & A_Concept,2016-02-04T02:33:03.861843,User_6,2016-02-02T09:35:45.449330,2016-02-02T09:35:45.449330,0.0,False
Case_11,A_Accepted,2016-02-04T08:06:19.704251,User_4,2016-02-04T02:33:03.861843,2016-02-04T08:00:00,19616.138157,True
Case_11,O_Create Offer & O_Created,2016-02-04T08:06:31.463661,User_14,2016-02-04T08:06:19.704251,2016-02-04T08:06:19.704251,0.0,False
Case_11,O_Sent (mail and online),2016-02-04T08:25:00.100000,User_19,2016-02-04T08:06:31.463661,2016-02-04T08:25:00,1108.536339,True
Case_11,W_Call after offers & A_Complete,2016-02-04T08:52:37.340657,User_25,2016-02-04T08:25:00.100000,2016-02-04T08:48:00,1379.9,True
Case_11,A_Cancelled & O_Cancelled,2016-02-04T08:52:37.540657,User_120,2016-02-04T08:52:37.340657,2016-02-04T08:52:37.340657,0.0,False
Case_11,END,2016-02-04T08:53:37.540657,User_95,2016-02-04T08:52:37.540657,2016-02-04T08:52:37.540657,0.0,False
Case_12,A_Create Application,2016-02-01T12:00:12.772313,User_4,2016-02-01T12:00:12.672313,2016-02-01T12:00:12.672313,0.0,False
Case_12,W_Complete application & A_Concept,2016-02-02T01:08:42.388113,User_87,2016-02-01T12:00:12.772313,2016-02-01T12:00:12.772313,0.0,False
Case_12,A_Accepted,2016-02-02T09:45:40.507572,User_11,2016-02-02T01:08:42.388113,2016-02-02T09:44:00,30917.611887,True
