case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T13:59:34.605951,User_1,2016-02-01T10:00:00.100000,2016-02-02T13:59:34.248577,100774.148577,True
Case_1,W_Handle leads,2016-02-02T13:59:35.678224,User_17,2016-02-02T13:59:34.605951,2016-02-02T13:59:34.605951,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-02T14:50:44.859112,User_17,2016-02-02T13:59:35.678224,2016-02-02T13:59:35.678224,0.0,False
Case_1,A_Accepted,2016-02-02T16:05:02.310767,User_35,2016-02-02T14:50:44.859112,2016-02-02T16:02:58.395996,4333.536884,True
Case_1,O_Create Offer & O_Created,2016-02-02T16:41:23.049728,User_38,2016-02-02T16:05:02.310767,2016-02-02T16:39:14.518914,2052.208147,True
Case_1,O_Sent (mail and online),2016-02-02T17:49:37.704480,User_15,2016-02-02T16:41:23.049728,2016-02-02T17:47:29.433076,3966.383348,True
Case_1,W_Call after offers & A_Complete,2016-02-03T04:25:32.801640,User_20,2016-02-02T17:49:37.704480,2016-02-02T18:29:26.543397,2388.838917,True
Case_1,W_Validate application & A_Validating,2016-02-03T07:55:03.220471,User_102,2016-02-03T04:25:32.801640,2016-02-03T07:54:41.159500,12548.35786,True
Case_1,O_Returned,2016-02-03T09:00:37.282304,User_29,2016-02-03T07:55:03.220471,2016-02-03T08:34:00,2336.779529,True
Case_1,A_Incomplete,2016-02-03T09:32:38.825695,User_100,2016-02-03T09:00:37.282304,2016-02-03T09:32:26.047271,1908.764967,True
Case_1,END,2016-02-03T09:32:38.825695,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:34:48.632371,User_1,2016-02-01T12:34:48.532371,2016-02-01T12:34:48.532371,0.0,False
Case_10,A_Submitted,2016-02-02T13:59:37.786138,User_1,2016-02-01T12:34:48.632371,2016-02-02T13:59:37.427897,91488.795526,True
Case_10,W_Handle leads,2016-02-02T14:13:03.696172,User_19,2016-02-02T13:59:37.786138,2016-02-02T13:59:37.786138,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-06T20:20:01.209329,User_43,2016-02-02T14:13:03.696172,2016-02-02T15:30:14.096793,4630.400621,True
Case_10,A_Accepted,2016-02-07T07:03:31.288933,User_113,2016-02-06T20:20:01.209329,2016-02-07T07:01:00,38458.790671,True
Case_10,O_Create Offer & O_Created,2016-02-07T07:17:28.481727,User_68,2016-02-07T07:03:31.288933,2016-02-07T07:04:32.734581,61.445648,True
Case_10,O_Sent (mail and online),2016-02-07T07:17:28.587064,User_68,2016-02-07T07:17:28.481727,2016-02-07T07:17:28.481727,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-07T07:18:09.407698,User_68,2016-02-07T07:17:28.587064,2016-02-07T07:17:28.587064,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-07T07:18:37.365631,User_113,2016-02-07T07:17:28.587064,2016-02-07T07:17:28.587064,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-07T07:20:02.110952,User_113,2016-02-07T07:18:37.365631,2016-02-07T07:18:37.365631,0.0,False
Case_10,O_Returned,2016-02-07T07:21:38.118192,User_113,2016-02-07T07:20:02.110952,2016-02-07T07:20:02.110952,0.0,False
Case_10,A_Incomplete,2016-02-07T07:21:54.944185,User_113,2016-02-07T07:21:38.118192,2016-02-07T07:21:38.118192,0.0,False
Case_10,O_Sent (mail and online),2016-02-07T07:34:00.182685,User_68,2016-02-07T07:18:09.407698,2016-02-07T07:18:09.407698,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-07T07:34:22.550008,User_68,2016-02-07T07:34:00.182685,2016-02-07T07:34:00.182685,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-07T07:42:42.131688,User_113,2016-02-07T07:34:00.182685,2016-02-07T07:34:00.182685,0.0,False
Case_10,O_Sent (mail and online),2016-02-07T07:47:09.112779,User_68,2016-02-07T07:34:22.550008,2016-02-07T07:34:22.550008,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-07T07:48:00.828579,User_113,2016-02-07T07:42:42.131688,2016-02-07T07:42:42.131688,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-07T07:49:44.294302,User_68,2016-02-07T07:47:09.112779,2016-02-07T07:47:09.112779,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-07T07:51:07.522638,User_68,2016-02-07T07:49:44.294302,2016-02-07T07:49:44.294302,0.0,False
Case_10,O_Returned,2016-02-07T07:52:41.054300,User_113,2016-02-07T07:48:00.828579,2016-02-07T07:48:00.828579,0.0,False
Case_10,O_Returned,2016-02-07T07:54:37.934566,User_68,2016-02-07T07:51:07.522638,2016-02-07T07:51:07.522638,0.0,False
Case_10,END,2016-02-07T07:54:37.934566,,,,0.0,False
Case_100,A_Create Application,2016-02-02T13:59:34.248577,User_1,2016-02-02T13:59:34.148577,2016-02-02T13:59:34.148577,0.0,False
Case_100,A_Submitted,2016-02-02T14:00:07.853351,User_1,2016-02-02T13:59:34.248577,2016-02-02T14:00:07.582966,33.334389,True
Case_100,W_Handle leads,2016-02-02T14:15:30.977570,User_14,2016-02-02T14:00:07.853351,2016-02-02T14:08:54.849897,526.996546,True
Case_100,W_Complete application & A_Concept,2016-02-02T19:57:08.767511,User_10,2016-02-02T14:15:30.977570,2016-02-02T15:40:00.100212,5069.122642,True
