case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T18:34:04.804656,User_1,2016-02-01T10:00:00.100000,2016-02-02T18:34:04.438322,117244.338322,True
Case_1,W_Handle leads,2016-02-02T18:34:04.904656,User_38,2016-02-02T18:34:04.804656,2016-02-02T18:34:04.804656,0.0,False
Case_1,W_Complete application & A_Concept,2016-02-02T18:43:13.877233,User_89,2016-02-02T18:34:04.904656,2016-02-02T18:34:04.904656,0.0,False
Case_1,A_Accepted,2016-02-02T18:54:09.744572,User_45,2016-02-02T18:43:13.877233,2016-02-02T18:53:16.792509,602.915276,True
Case_1,O_Create Offer & O_Created,2016-02-02T18:55:00.251197,User_136,2016-02-02T18:54:09.744572,2016-02-02T18:54:54.245080,44.500508,True
Case_1,O_Sent (mail and online),2016-02-02T18:57:48.794170,User_53,2016-02-02T18:55:00.251197,2016-02-02T18:57:48.243576,167.992379,True
Case_1,O_Create Offer & O_Created,2016-02-02T19:03:10.532517,User_136,2016-02-02T18:57:48.794170,2016-02-02T19:02:37.088977,288.294807,True
Case_1,W_Call after offers & A_Complete,2016-02-02T19:05:35.113271,User_27,2016-02-02T18:57:48.794170,2016-02-02T19:03:09.258203,320.464033,True
Case_1,A_Cancelled & O_Cancelled,2016-02-02T19:05:35.313271,User_125,2016-02-02T19:05:35.113271,2016-02-02T19:05:35.113271,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T19:15:46.157805,User_54,2016-02-02T19:03:10.532517,2016-02-02T19:07:14.618721,244.086204,True
Case_1,O_Create Offer & O_Created,2016-02-02T19:18:36.786439,User_136,2016-02-02T19:15:46.157805,2016-02-02T19:18:33.528407,167.370602,True
Case_1,O_Sent (mail and online),2016-02-02T19:30:16.230490,User_62,2016-02-02T19:18:36.786439,2016-02-02T19:30:15.406257,698.619818,True
Case_1,W_Call after offers & A_Complete,2016-02-02T19:45:12.834875,User_54,2016-02-02T19:30:16.230490,2016-02-02T19:40:09.909634,593.679144,True
Case_1,W_Validate application & A_Validating,2016-02-02T19:46:26.437177,User_123,2016-02-02T19:45:12.834875,2016-02-02T19:45:12.834875,0.0,False
Case_1,O_Returned,2016-02-02T19:48:49.772810,User_123,2016-02-02T19:46:26.437177,2016-02-02T19:46:26.437177,0.0,False
Case_1,END,2016-02-02T19:48:49.772810,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:47:33.431092,User_1,2016-02-01T12:47:33.331092,2016-02-01T12:47:33.331092,0.0,False
Case_10,A_Submitted,2016-02-02T18:34:07.985555,User_1,2016-02-01T12:47:33.431092,2016-02-02T18:34:07.630704,107194.199612,True
Case_10,W_Handle leads,2016-02-02T18:34:08.085555,User_4,2016-02-02T18:34:07.985555,2016-02-02T18:34:07.985555,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-02T18:39:15.893806,User_37,2016-02-02T18:34:08.085555,2016-02-02T18:34:08.085555,0.0,False
Case_10,A_Accepted,2016-02-02T18:52:46.801799,User_97,2016-02-02T18:39:15.893806,2016-02-02T18:50:26.463855,670.570049,True
Case_10,O_Create Offer & O_Created,2016-02-02T18:53:39.168466,User_133,2016-02-02T18:52:46.801799,2016-02-02T18:52:46.801799,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T18:56:39.700468,User_45,2016-02-02T18:53:39.168466,2016-02-02T18:56:39.493715,180.325249,True
Case_10,O_Create Offer & O_Created,2016-02-02T18:59:41.795231,User_133,2016-02-02T18:56:39.700468,2016-02-02T18:58:19.584834,99.884366,True
Case_10,O_Sent (mail and online),2016-02-02T19:06:49.365412,User_65,2016-02-02T18:59:41.795231,2016-02-02T19:06:49.265412,427.470181,True
Case_10,W_Call after offers & A_Complete,2016-02-02T19:09:19.455628,User_35,2016-02-02T18:56:39.700468,2016-02-02T18:59:49.139945,189.439477,True
Case_10,O_Create Offer & O_Created,2016-02-02T19:09:21.049730,User_133,2016-02-02T19:06:49.365412,2016-02-02T19:09:13.071475,143.706063,True
Case_10,O_Create Offer & O_Created,2016-02-02T19:11:16.839509,User_133,2016-02-02T19:09:19.455628,2016-02-02T19:09:55.933824,36.478196,True
Case_10,O_Sent (mail and online),2016-02-02T19:13:40.390237,User_39,2016-02-02T19:09:21.049730,2016-02-02T19:13:40.290237,259.240507,True
Case_10,O_Sent (mail and online),2016-02-02T19:14:58.166134,User_96,2016-02-02T19:11:16.839509,2016-02-02T19:14:58.066134,221.226625,True
Case_10,W_Call after offers & A_Complete,2016-02-02T19:26:26.102907,User_65,2016-02-02T19:14:58.166134,2016-02-02T19:23:14.374005,496.207871,True
