case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.117497,User_9,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-01T19:43:47.391415,User_1,2016-02-01T10:00:00.117497,2016-02-01T19:43:46.904960,35026.787463,True
Case_1,W_Complete application & A_Concept,2016-02-02T13:35:48.224079,User_37,2016-02-01T19:43:47.391415,2016-02-02T09:29:00,49512.608585,True
Case_1,A_Accepted,2016-02-04T07:25:34.809053,User_2,2016-02-02T13:35:48.224079,2016-02-04T07:25:01.453077,150553.228998,True
Case_1,O_Create Offer & O_Created,2016-02-04T08:28:54.625628,User_4,2016-02-04T07:25:34.809053,2016-02-04T08:28:00,3745.190947,True
Case_1,O_Sent (mail and online),2016-02-04T09:11:05.394445,User_7,2016-02-04T08:28:54.625628,2016-02-04T09:10:48.428010,2513.802382,True
Case_1,W_Call after offers & A_Complete,2016-02-04T09:59:52.711281,User_101,2016-02-04T09:11:05.394445,2016-02-04T09:44:37.705232,2012.310787,True
Case_1,O_Create Offer & O_Created,2016-02-20T09:03:34.800935,User_74,2016-02-04T09:59:52.711281,2016-02-20T09:02:57.036374,1378984.325093,True
Case_1,O_Sent (mail and online),2016-02-20T09:03:34.900935,User_118,2016-02-20T09:03:34.800935,2016-02-20T09:03:34.800935,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-20T09:03:39.394730,User_73,2016-02-20T09:03:34.900935,2016-02-20T09:03:34.900935,0.0,False
Case_1,O_Sent (mail and online),2016-03-01T16:04:23.245313,User_22,2016-02-20T09:03:39.394730,2016-03-01T16:04:22.484218,889243.089488,True
Case_1,W_Call after offers & A_Complete,2016-04-02T15:58:02.224352,User_13,2016-03-01T16:04:23.245313,2016-04-02T15:51:14.290880,2764011.045567,True
Case_1,A_Cancelled & O_Cancelled,2016-04-02T15:58:02.424352,User_32,2016-04-02T15:58:02.224352,2016-04-02T15:58:02.224352,0.0,False
Case_1,END,2016-04-02T15:58:02.424352,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:39:38.285902,User_68,2016-02-01T12:39:38.185902,2016-02-01T12:39:38.185902,0.0,False
Case_10,A_Submitted,2016-02-01T19:43:50.156530,User_1,2016-02-01T12:39:38.285902,2016-02-01T19:43:49.864212,25451.57831,True
Case_10,W_Handle leads,2016-02-02T10:11:00.100000,User_144,2016-02-01T19:43:50.156530,2016-02-02T10:11:00,52029.84347,True
Case_10,W_Complete application & A_Concept,2016-02-02T18:10:43.024615,User_95,2016-02-02T10:11:00.100000,2016-02-02T10:11:00.100000,0.0,False
Case_10,A_Accepted,2016-02-02T18:16:05.588458,User_35,2016-02-02T18:10:43.024615,2016-02-02T18:10:43.024615,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T18:21:34.974655,User_21,2016-02-02T18:16:05.588458,2016-02-02T18:16:05.588458,0.0,False
Case_10,O_Sent (mail and online),2016-02-02T18:21:35.074655,User_17,2016-02-02T18:21:34.974655,2016-02-02T18:21:34.974655,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T18:22:21.852766,User_21,2016-02-02T18:21:35.074655,2016-02-02T18:21:35.074655,0.0,False
Case_10,O_Sent (mail and online),2016-04-03T15:16:56.522721,User_38,2016-02-02T18:22:21.852766,2016-04-03T15:16:56.422721,5259274.569955,True
Case_10,W_Call after offers & A_Complete,2016-04-04T19:21:43.493791,User_71,2016-04-03T15:16:56.522721,2016-04-03T15:16:56.522721,0.0,False
Case_10,O_Create Offer & O_Created,2016-05-11T11:09:35.419882,User_42,2016-04-03T15:16:56.522721,2016-05-11T11:09:13.836870,3268337.314149,True
Case_10,O_Sent (mail and online),2016-05-11T11:09:35.519882,User_100,2016-05-11T11:09:35.419882,2016-05-11T11:09:35.419882,0.0,False
Case_10,W_Call after offers & A_Complete,2016-05-11T11:10:47.944682,User_70,2016-05-11T11:09:35.519882,2016-05-11T11:09:35.519882,0.0,False
Case_10,A_Cancelled & O_Cancelled,2016-05-11T11:10:48.144682,User_1,2016-05-11T11:10:47.944682,2016-05-11T11:10:47.944682,0.0,False
Case_10,W_Validate application & A_Validating,2016-05-11T11:16:52.855105,User_42,2016-04-04T19:21:43.493791,2016-05-11T11:16:23.736860,3167680.243069,True
Case_10,O_Returned,2016-05-11T11:25:08.251090,User_29,2016-05-11T11:16:52.855105,2016-05-11T11:16:52.855105,0.0,False
Case_10,END,2016-05-11T11:25:08.251090,,,,0.0,False
Case_100,A_Create Application,2016-02-02T13:38:55.170003,User_7,2016-02-02T13:38:54.975443,2016-02-02T13:38:54.975443,0.0,False
Case_100,A_Submitted,2016-02-05T19:13:38.774555,User_1,2016-02-02T13:38:55.170003,2016-02-05T19:13:38.479142,279283.309139,True
Case_100,W_Handle leads,2016-02-06T08:31:57.780307,User_36,2016-02-05T19:13:38.774555,2016-02-06T08:19:00,47121.225445,True
Case_100,W_Complete application & A_Concept,2016-02-06T08:49:45.622452,User_18,2016-02-06T08:31:57.780307,2016-02-06T08:31:57.780307,0.0,False
Case_100,A_Accepted,2016-02-06T08:52:42.573162,User_20,2016-02-06T08:49:45.622452,2016-02-06T08:49:45.622452,0.0,False
Case_100,O_Create Offer & O_Created,2016-02-06T08:56:09.267823,User_49,2016-02-06T08:52:42.573162,2016-02-06T08:52:42.573162,0.0,False
Case_100,O_Sent (mail and online),2016-02-29T07:25:20.232521,User_68,2016-02-06T08:56:09.267823,2016-02-29T07:25:20.132521,1981750.864698,True
Case_100,W_Call after offers & A_Complete,2016-02-29T09:45:31.924502,User_12,2016-02-29T07:25:20.232521,2016-02-29T09:43:00,8259.767479,True
Case_100,O_Create Offer & O_Created,2016-02-29T09:45:56.159611,User_25,2016-02-29T09:45:31.924502,2016-02-29T09:45:31.924502,0.0,False
Case_100,O_Sent (mail and online),2016-02-29T09:45:56.259611,User_68,2016-02-29T09:45:56.159611,2016-02-29T09:45:56.159611,0.0,False
Case_100,O_Create Offer & O_Created,2016-04-02T15:51:14.290880,User_13,2016-02-29T09:45:56.259611,2016-04-02T15:50:42.057962,2873085.798351,True
Case_100,O_Sent (mail and online),2016-04-02T15:51:22.439773,User_20,2016-04-02T15:51:14.290880,2016-04-02T15:51:14.290880,0.0,False
Case_100,W_Call after offers & A_Complete,2016-04-03T15:39:22.074177,User_38,2016-04-02T15:51:22.439773,2016-04-03T15:38:37.640255,85635.200482,True
Case_100,W_Validate application & A_Validating,2016-04-03T15:39:24.380711,User_115,2016-04-03T15:39:22.074177,2016-04-03T15:39:22.074177,0.0,False
Case_100,O_Returned,2016-04-04T08:09:50.905039,User_119,2016-04-03T15:39:24.380711,2016-04-04T08:03:00,59015.619289,True
Case_100,END,2016-04-04T08:09:50.905039,,,,0.0,False
Case_11,A_Create Application,2016-02-01T12:45:53.206701,User_109,2016-02-01T12:45:53.106701,2016-02-01T12:45:53.106701,0.0,False
Case_11,A_Submitted,2016-02-01T19:43:50.515261,User_1,2016-02-01T12:45:53.206701,2016-02-01T19:43:50.156530,25076.949829,True
Case_11,W_Complete application & A_Concept,2016-02-03T12:24:56.349516,User_108,2016-02-01T19:43:50.515261,2016-02-02T09:51:00.522834,50830.007573,True
Case_11,A_Accepted,2016-04-03T06:34:23.446164,User_30,2016-02-03T12:24:56.349516,2016-04-03T06:31:33.220820,5162796.871304,True
Case_11,O_Create Offer & O_Created,2016-04-03T12:20:03.813568,User_33,2016-04-03T06:34:23.446164,2016-04-03T12:20:00,20736.553836,True
Case_11,O_Sent (mail and online),2016-04-03T12:20:05.765292,User_7,2016-04-03T12:20:03.813568,2016-04-03T12:20:03.813568,0.0,False
Case_11,O_Create Offer & O_Created,2016-04-15T11:06:23.694349,User_47,2016-04-03T12:20:05.765292,2016-04-15T11:05:53.192826,1032347.427534,True
Case_11,O_Sent (mail and online),2016-04-15T11:06:23.794349,User_74,2016-04-15T11:06:23.694349,2016-04-15T11:06:23.694349,0.0,False
Case_11,W_Call after offers & A_Complete,2016-05-07T06:18:29.556996,User_7,2016-04-15T11:06:23.794349,2016-05-07T06:15:00,1883316.205651,True
Case_11,W_Validate application & A_Validating,2016-05-07T08:52:52.707126,User_101,2016-05-07T06:18:29.556996,2016-05-07T08:01:27.161404,6177.604408,True
Case_11,O_Returned,2016-05-07T09:06:53.383616,User_87,2016-05-07T08:52:52.707126,2016-05-07T08:52:52.707126,0.0,False
Case_11,A_Incomplete,2016-05-07T09:07:10.282147,User_34,2016-05-07T09:06:53.383616,2016-05-07T09:06:53.383616,0.0,False
Case_11,O_Create Offer & O_Created,2016-05-07T09:58:57.187516,User_44,2016-05-07T06:18:29.556996,2016-05-07T09:58:00,13170.443004,True
Case_11,O_Sent (mail and online),2016-05-07T09:58:57.291957,User_34,2016-05-07T09:58:57.187516,2016-05-07T09:58:57.187516,0.0,False
Case_11,W_Call after offers & A_Complete,2016-05-07T10:05:27.934603,User_100,2016-05-07T09:58:57.291957,2016-05-07T09:58:57.291957,0.0,False
Case_11,A_Cancelled & O_Cancelled,2016-05-07T10:05:28.134603,User_34,2016-05-07T10:05:27.934603,2016-05-07T10:05:27.934603,0.0,False
Case_11,END,2016-05-07T10:05:28.134603,,,,0.0,False
Case_12,A_Create Application,2016-02-02T08:01:00.200000,User_26,2016-02-01T12:52:09.435286,2016-02-02T08:01:00.100000,68930.664714,True
Case_12,A_Submitted,2016-02-02T08:01:00.740588,User_1,2016-02-02T08:01:00.200000,2016-02-02T08:01:00.455761,0.255761,True
Case_12,W_Handle leads,2016-02-02T09:43:34.652761,User_35,2016-02-02T08:01:00.740588,2016-02-02T09:43:00.100000,6119.359412,True
Case_12,W_Complete application & A_Concept,2016-02-02T09:43:37.346525,User_85,2016-02-02T09:43:34.652761,2016-02-02T09:43:34.652761,0.0,False
Case_12,A_Accepted,2016-02-02T09:45:10.467311,User_90,2016-02-02T09:43:37.346525,2016-02-02T09:43:37.346525,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-04T07:23:23.501622,User_2,2016-02-02T09:45:10.467311,2016-02-04T07:22:52.971803,164262.504492,True
Case_12,O_Sent (mail and online),2016-02-04T08:05:19.188794,User_9,2016-02-04T07:23:23.501622,2016-02-04T08:05:19.088794,2515.587172,True
Case_12,O_Create Offer & O_Created,2016-02-04T09:05:19.416992,User_28,2016-02-04T08:05:19.188794,2016-02-04T09:05:00,3580.811206,True
Case_12,O_Sent (mail and online),2016-02-04T09:25:45.395576,User_17,2016-02-04T09:05:19.416992,2016-02-04T09:05:19.416992,0.0,False
Case_12,W_Call after offers & A_Complete,2016-02-04T09:27:11.840151,User_17,2016-02-04T09:25:45.395576,2016-02-04T09:25:45.395576,0.0,False
Case_12,W_Validate application & A_Validating,2016-02-04T09:27:29.351390,User_102,2016-02-04T09:27:11.840151,2016-02-04T09:27:11.840151,0.0,False
Case_12,O_Create Offer & O_Created,2016-02-04T09:28:55.900427,User_15,2016-02-04T09:27:11.840151,2016-02-04T09:27:11.840151,0.0,False
Case_12,O_Returned,2016-02-04T09:29:37.542534,User_120,2016-02-04T09:27:29.351390,2016-02-04T09:27:29.351390,0.0,False
Case_12,A_Incomplete,2016-02-04T09:30:33.724835,User_109,2016-02-04T09:29:37.542534,2016-02-04T09:29:37.542534,0.0,False
Case_12,A_Validating,2016-02-20T09:02:57.036374,User_74,2016-02-04T09:30:33.724835,2016-02-20T09:02:03.133286,1380689.408451,True
Case_12,W_Call after offers & A_Complete,2016-04-03T10:42:34.590045,User_3,2016-02-04T08:05:19.188794,2016-04-03T10:41:09.924550,5106950.735756,True
Case_12,W_Validate application & A_Validating,2016-04-03T10:42:46.576540,User_120,2016-04-03T10:42:34.590045,2016-04-03T10:42:34.590045,0.0,False
Case_12,O_Sent (mail and online),2016-04-04T12:04:43.429622,User_28,2016-02-04T09:28:55.900427,2016-04-04T09:12:29.079052,5183013.178625,True
Case_12,W_Call after offers & A_Complete,2016-04-04T13:16:13.973229,User_5,2016-04-04T12:04:43.429622,2016-04-04T12:04:43.429622,0.0,False
Case_12,W_Validate application & A_Validating,2016-04-04T13:16:44.319313,User_4,2016-04-04T13:16:13.973229,2016-04-04T13:16:13.973229,0.0,False
Case_12,O_Returned,2016-04-04T13:22:53.354712,User_120,2016-04-04T13:16:44.319313,2016-04-04T13:16:44.319313,0.0,False
Case_12,O_Returned,2016-04-07T05:14:54.643837,User_30,2016-04-03T10:42:46.576540,2016-04-07T05:11:51.027357,325744.450817,True
Case_12,A_Incomplete,2016-04-13T08:15:16.152354,User_29,2016-02-20T09:02:57.036374,2016-04-13T08:15:00,4576322.963626,True
Case_12,A_Validating,2016-04-13T08:16:35.283512,User_112,2016-04-13T08:15:16.152354,2016-04-13T08:15:16.152354,0.0,False
Case_12,A_Incomplete,2016-04-13T09:30:49.552973,User_27,2016-04-13T08:16:35.283512,2016-04-13T09:30:00,4404.716488,True
Case_12,END,2016-04-13T09:30:49.552973,,,,0.0,False
Case_13,A_Create Application,2016-02-01T13:00:27.035560,User_7,2016-02-01T13:00:26.403307,2016-02-01T13:00:26.403307,0.0,False
Case_13,A_Submitted,2016-02-01T19:43:50.862850,User_1,2016-02-01T13:00:27.035560,2016-02-01T19:43:50.515261,24203.479701,True
Case_13,W_Handle leads,2016-02-02T08:01:23.612737,User_26,2016-02-01T19:43:50.862850,2016-02-02T08:01:00.200000,44229.33715,True
Case_13,W_Complete application & A_Concept,2016-02-03T09:34:26.586848,User_3,2016-02-02T08:01:23.612737,2016-02-02T09:09:44.460681,4100.847944,True
Case_13,A_Accepted,2016-02-04T08:06:12.035444,User_108,2016-02-03T09:34:26.586848,2016-02-04T08:04:33.224119,81006.637271,True
Case_13,O_Create Offer & O_Created,2016-02-04T08:09:37.192700,User_26,2016-02-04T08:06:12.035444,2016-02-04T08:09:32.456277,200.420833,True
Case_13,O_Sent (mail and online),2016-02-04T08:09:46.563413,User_75,2016-02-04T08:09:37.192700,2016-02-04T08:09:37.192700,0.0,False
Case_13,W_Call after offers & A_Complete,2016-02-04T09:11:26.971904,User_12,2016-02-04T08:09:46.563413,2016-02-04T09:09:00,3553.436587,True
Case_13,W_Validate application & A_Validating,2016-02-04T09:23:10.696036,User_112,2016-02-04T09:11:26.971904,2016-02-04T09:11:26.971904,0.0,False
Case_13,O_Create Offer & O_Created,2016-02-04T11:41:39.071043,User_87,2016-02-04T09:11:26.971904,2016-02-04T11:41:33.877636,9006.905732,True
Case_13,O_Returned,2016-02-29T07:19:30.024670,User_68,2016-02-04T09:23:10.696036,2016-02-29T07:17:46.062043,2152475.366007,True
Case_13,O_Sent (mail and online),2016-04-02T15:18:23.511028,User_13,2016-02-04T11:41:39.071043,2016-04-02T15:18:23.411028,5024204.339985,True
Case_13,W_Call after offers & A_Complete,2016-04-02T15:25:30.391186,User_61,2016-04-02T15:18:23.511028,2016-04-02T15:18:23.511028,0.0,False
Case_13,A_Cancelled & O_Cancelled,2016-04-02T15:25:30.591186,User_31,2016-04-02T15:25:30.391186,2016-04-02T15:25:30.391186,0.0,False
Case_13,O_Create Offer & O_Created,2016-04-10T09:00:53.853733,User_29,2016-02-04T08:09:46.563413,2016-04-10T09:00:42.923085,5705456.359672,True
Case_13,O_Sent (mail and online),2016-04-10T09:20:12.081437,User_32,2016-04-10T09:00:53.853733,2016-04-10T09:00:53.853733,0.0,False
Case_13,W_Call after offers & A_Complete,2016-04-13T08:27:09.673044,User_49,2016-04-10T09:20:12.081437,2016-04-13T08:21:16.267225,255664.185788,True
Case_13,A_Cancelled & O_Cancelled,2016-04-13T08:27:15.314406,User_49,2016-04-13T08:27:09.673044,2016-04-13T08:27:14.786998,5.113954,True
Case_13,END,2016-04-13T08:27:15.314406,,,,0.0,False
Case_14,A_Create Application,2016-02-01T13:04:29.102753,User_30,2016-02-01T13:04:29.002753,2016-02-01T13:04:29.002753,0.0,False
Case_14,A_Submitted,2016-02-01T19:43:51.317933,User_1,2016-02-01T13:04:29.102753,2016-02-01T19:43:50.862850,23961.760097,True
Case_14,W_Complete application & A_Concept,2016-04-03T13:46:07.112441,User_38,2016-02-01T19:43:51.317933,2016-02-02T13:04:49.222822,62457.904889,True
Case_14,A_Accepted,2016-04-03T13:46:50.475687,User_12,2016-04-03T13:46:07.112441,2016-04-03T13:46:07.112441,0.0,False
Case_14,O_Create Offer & O_Created,2016-04-03T13:47:42.388121,User_116,2016-04-03T13:46:50.475687,2016-04-03T13:46:50.475687,0.0,False
Case_14,O_Sent (mail and online),2016-04-03T13:47:42.488121,User_97,2016-04-03T13:47:42.388121,2016-04-03T13:47:42.388121,0.0,False
Case_14,O_Create Offer & O_Created,2016-04-03T13:48:05.443423,User_31,2016-04-03T13:47:42.488121,2016-04-03T13:47:42.488121,0.0,False
Case_14,O_Sent (mail and online),2016-04-03T13:48:09.286852,User_49,2016-04-03T13:48:05.443423,2016-04-03T13:48:05.443423,0.0,False
Case_14,O_Create Offer & O_Created,2016-04-03T14:17:51.847045,User_99,2016-04-03T13:48:09.286852,2016-04-03T14:15:24.942257,1635.655405,True
Case_14,O_Sent (mail and online),2016-04-03T14:17:52.289558,User_12,2016-04-03T14:17:51.847045,2016-04-03T14:17:51.847045,0.0,False
Case_14,W_Call after offers & A_Complete,2016-04-03T14:21:14.589137,User_34,2016-04-03T14:17:52.289558,2016-04-03T14:17:52.289558,0.0,False
Case_14,W_Validate application & A_Validating,2016-04-03T14:24:46.491329,User_61,2016-04-03T14:21:14.589137,2016-04-03T14:21:14.589137,0.0,False
Case_14,O_Returned,2016-04-03T14:30:59.357731,User_117,2016-04-03T14:24:46.491329,2016-04-03T14:24:46.491329,0.0,False
