case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.650086,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T08:20:00.336251,User_1,2016-02-01T10:00:00.650086,2016-02-02T08:20:00.100000,80399.449914,True
Case_1,W_Complete application & A_Concept,2016-02-03T18:33:26.799571,User_26,2016-02-02T08:20:00.336251,2016-02-03T09:27:00.100000,90419.763749,True
Case_1,A_Accepted,2016-02-04T09:08:25.946669,User_101,2016-02-03T18:33:26.799571,2016-02-04T09:06:00,52353.200429,True
Case_1,O_Create Offer & O_Created,2016-02-09T12:46:18.206977,User_34,2016-02-04T09:08:25.946669,2016-02-09T12:45:16.450071,445010.503402,True
Case_1,O_Sent (mail and online),2016-02-09T12:46:18.306977,User_49,2016-02-09T12:46:18.206977,2016-02-09T12:46:18.206977,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-09T22:36:41.229737,User_5,2016-02-09T12:46:18.306977,2016-02-09T12:46:18.306977,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-10T09:01:26.671406,User_44,2016-02-09T22:36:41.229737,2016-02-10T08:59:00,37338.770263,True
Case_1,O_Returned,2016-02-10T09:02:16.858376,User_31,2016-02-10T09:01:26.671406,2016-02-10T09:01:26.671406,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-10T09:43:04.788721,User_43,2016-02-09T22:36:41.229737,2016-02-10T09:43:00,39978.770263,True
Case_1,O_Sent (mail and online),2016-02-10T09:43:04.888721,User_99,2016-02-10T09:43:04.788721,2016-02-10T09:43:04.788721,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-10T09:43:49.610290,User_10,2016-02-10T09:43:04.888721,2016-02-10T09:43:04.888721,0.0,False
Case_1,O_Sent (mail and online),2016-02-10T09:43:49.710290,User_100,2016-02-10T09:43:49.610290,2016-02-10T09:43:49.610290,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-10T09:44:54.158367,User_101,2016-02-10T09:43:49.710290,2016-02-10T09:43:49.710290,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-10T09:45:29.668133,User_102,2016-02-10T09:44:54.158367,2016-02-10T09:44:54.158367,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-10T09:46:31.659108,User_1,2016-02-10T09:43:04.888721,2016-02-10T09:43:04.888721,0.0,False
Case_1,O_Returned,2016-02-10T09:51:56.257188,User_109,2016-02-10T09:45:29.668133,2016-02-10T09:45:29.668133,0.0,False
Case_1,A_Cancelled & O_Cancelled,2016-02-10T09:51:56.914602,User_109,2016-02-10T09:46:31.659108,2016-02-10T09:51:56.257188,324.59808,True
Case_1,A_Incomplete,2016-02-10T09:52:47.993179,User_11,2016-02-10T09:51:56.257188,2016-02-10T09:51:56.257188,0.0,False
Case_1,END,2016-02-10T09:52:47.993179,,,,0.0,False
Case_10,A_Create Application,2016-02-01T12:32:56.115898,User_113,2016-02-01T12:32:55.992895,2016-02-01T12:32:55.992895,0.0,False
Case_10,A_Submitted,2016-02-02T08:20:02.909647,User_1,2016-02-01T12:32:56.115898,2016-02-02T08:20:02.662035,71226.546137,True
Case_10,W_Complete application & A_Concept,2016-02-02T13:33:06.140542,User_38,2016-02-02T08:20:02.909647,2016-02-02T08:20:02.909647,0.0,False
Case_10,A_Accepted,2016-02-02T13:35:58.295327,User_11,2016-02-02T13:33:06.140542,2016-02-02T13:33:06.140542,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-02T13:36:03.550184,User_114,2016-02-02T13:35:58.295327,2016-02-02T13:35:58.295327,0.0,False
