case:concept:name,concept:name,time:timestamp,org:resource,planned_start,actual_start,delay_seconds,was_delayed
Case_1,A_Create Application,2016-02-01T10:00:00.100000,User_1,2016-02-01T10:00:00,2016-02-01T10:00:00,0.0,False
Case_1,A_Submitted,2016-02-02T16:09:58.224002,User_1,2016-02-01T10:00:00.100000,2016-02-02T16:09:57.842951,108597.742951,True
Case_1,W_Complete application & A_Concept,2016-02-02T18:51:21.823806,User_17,2016-02-02T16:09:58.224002,2016-02-02T16:09:58.224002,0.0,False
Case_1,A_Accepted,2016-02-02T18:54:57.260598,User_103,2016-02-02T18:51:21.823806,2016-02-02T18:51:21.823806,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T18:55:05.563115,User_103,2016-02-02T18:54:57.260598,2016-02-02T18:54:57.260598,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T18:55:05.663115,User_17,2016-02-02T18:55:05.563115,2016-02-02T18:55:05.563115,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T18:55:36.969051,User_105,2016-02-02T18:55:05.663115,2016-02-02T18:55:05.663115,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T18:55:37.511467,User_21,2016-02-02T18:55:36.969051,2016-02-02T18:55:36.969051,0.0,False
Case_1,O_Create Offer & O_Created,2016-02-02T18:55:51.070841,User_106,2016-02-02T18:55:37.511467,2016-02-02T18:55:37.511467,0.0,False
Case_1,O_Sent (mail and online),2016-02-02T18:55:51.170841,User_121,2016-02-02T18:55:51.070841,2016-02-02T18:55:51.070841,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T18:59:25.238642,User_63,2016-02-02T18:55:51.170841,2016-02-02T18:55:51.170841,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T19:00:22.964953,User_131,2016-02-02T18:59:25.238642,2016-02-02T18:59:25.238642,0.0,False
Case_1,W_Call after offers & A_Complete,2016-02-02T19:33:59.286737,User_19,2016-02-02T18:55:05.663115,2016-02-02T18:55:05.663115,0.0,False
Case_1,W_Validate application & A_Validating,2016-02-02T19:35:17.123137,User_19,2016-02-02T19:33:59.286737,2016-02-02T19:33:59.286737,0.0,False
Case_1,O_Returned,2016-02-02T19:36:08.582643,User_129,2016-02-02T19:00:22.964953,2016-02-02T19:00:22.964953,0.0,False
Case_1,END,2016-02-02T19:36:08.582643,,,,0.0,False
Case_1,O_Returned,2016-02-02T19:50:00.282733,User_122,2016-02-02T19:35:17.123137,2016-02-02T19:35:17.123137,0.0,False
Case_10,A_Create Application,2016-02-01T14:21:44.652066,User_1,2016-02-01T14:21:44.436018,2016-02-01T14:21:44.436018,0.0,False
Case_10,A_Submitted,2016-02-02T16:10:01.201430,User_1,2016-02-01T14:21:44.652066,2016-02-02T16:10:00.901530,92896.249464,True
Case_10,W_Handle leads,2016-02-02T16:10:05.886068,User_12,2016-02-02T16:10:01.201430,2016-02-02T16:10:01.201430,0.0,False
Case_10,W_Complete application & A_Concept,2016-02-03T00:41:22.373416,User_57,2016-02-02T16:10:05.886068,2016-02-02T16:10:05.886068,0.0,False
Case_10,A_Accepted,2016-02-03T00:49:46.212457,User_104,2016-02-03T00:41:22.373416,2016-02-03T00:41:22.373416,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T00:51:29.048508,User_104,2016-02-03T00:49:46.212457,2016-02-03T00:49:46.212457,0.0,False
Case_10,O_Sent (mail and online),2016-02-03T00:51:29.148508,User_39,2016-02-03T00:51:29.048508,2016-02-03T00:51:29.048508,0.0,False
Case_10,W_Call after offers & A_Complete,2016-02-03T00:54:32.954496,User_107,2016-02-03T00:51:29.148508,2016-02-03T00:51:29.148508,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T00:55:13.596037,User_106,2016-02-03T00:54:32.954496,2016-02-03T00:54:32.954496,0.0,False
Case_10,O_Sent (mail and online),2016-02-03T00:55:13.696037,User_111,2016-02-03T00:55:13.596037,2016-02-03T00:55:13.596037,0.0,False
Case_10,W_Validate application & A_Validating,2016-02-03T00:55:34.681631,User_124,2016-02-03T00:54:32.954496,2016-02-03T00:54:32.954496,0.0,False
Case_10,O_Create Offer & O_Created,2016-02-03T00:55:41.847842,User_132,2016-02-03T00:55:13.696037,2016-02-03T00:55:13.696037,0.0,False
